company_name,official_url,classification,audit_reason,contact_url,contact_check,audit_date
株式会社リズム・エージェンシー,http://plus-plus.info/,除外,地域広告会社。法人情報掲載URLとJLAA社名を突合／実在フォーム未確認(contact_link_only),http://plus-plus.info/contact,contact_link_only,2026-08-12
株式会社アクティブイエロー,https://www.activeyellow.co.jp/,除外,広告・出版・地域情報発信／実在フォーム未確認(no_contact_link),,no_contact_link,2026-08-12
株式会社ライトエージェンシー,https://www.light-agc.co.jp/,送付対象,総合広告、Web・SNS支援,https://www.light-agc.co.jp/contact/,real_form_confirmed,2026-08-12
クロスボーダー株式会社,https://x-border.co.jp/,送付対象,PR・広告・Web・イベント,https://x-border.co.jp/contact.html,real_form_confirmed,2026-08-12
株式会社共和エージェンシー 神奈川支社,https://www.kyowa-e.co.jp/,送付対象,広告・イベント・販促,https://www.kyowa-e.co.jp/contact/,real_form_confirmed,2026-08-12
株式会社ライズウィル,https://rise-will.com/,送付対象,飲食店支援、SNS・Googleビジネスプロフィール支援,https://rise-will.com/contact/,real_form_confirmed,2026-08-12
株式会社ウイル・コーポレーション,https://www.well-corp.jp/,除外,上場会社ウイルコホールディングス系,https://www.well-corp.jp/contact/,real_form_confirmed,2026-08-12
株式会社ストアインク,https://store-ink.jp/,送付対象,地域媒体・広告・マーケティング,https://store-ink.jp/contact/,real_form_confirmed,2026-08-12
株式会社アイク,https://aic-ad.co.jp/,送付対象,地域広告会社,https://aic-ad.co.jp/contactform/,real_form_confirmed,2026-08-12
株式会社東通エィジェンシー,https://www.totsu-ag.com/,除外,上場会社東建コーポレーショングループ,https://www.totsu-ag.com/contact/,real_form_confirmed,2026-08-12
有限会社アド・フューチャー,https://ad-future.jp/,除外,子育て情報誌・地域広告／実在フォーム未確認(no_contact_link),,no_contact_link,2026-08-12
株式会社s.create(エスクリエイト),https://shiga-create.jp/,送付対象,広告・地域媒体・SNS・Web制作,https://pro.form-mailer.jp/fms/8d893c9d76083,real_form_confirmed,2026-08-12
株式会社関西ぱど,https://www.kansaipado.co.jp/,除外,上場会社中広グループ,https://www.kansaipado.co.jp/inquiry/,real_form_confirmed,2026-08-12
株式会社播磨リビング新聞社,https://harimaliving.co.jp/,送付対象,地域情報誌・Web・広告,https://harimaliving.co.jp/contact/,real_form_confirmed,2026-08-12
株式会社エヌ・アイ・プランニング,https://www.niplanning.jp/,送付対象,地域媒体・販促・イベント・Web,https://www.niplanning.jp/contact/,real_form_confirmed,2026-08-12
株式会社コスモプラス,https://cosmo-plus.co.jp/,送付対象,総合広告・Web・映像・販促,https://cosmo-plus.co.jp/contact,real_form_confirmed,2026-08-12
株式会社ビザビ,https://vis-a-vis.co.jp/,送付対象,地域広告・イベント・出版・マーケティング,https://vis-a-vis.co.jp/contact/,real_form_confirmed,2026-08-12
株式会社RCC文化センター,https://www.rccbc.co.jp/,除外,中国放送グループ,,no_contact_link,2026-08-12
株式会社毎日メディアサービス山口,https://mainichi-msy.co.jp/,除外,毎日新聞グループ系,https://mainichi-msy.co.jp/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,real_form_confirmed,2026-08-12
株式会社オリコ,https://www.orico-jp.com/,送付対象,地域密着の総合広告、Web・SNS・販促,https://www.orico-jp.com/contact/,real_form_confirmed,2026-08-12
朝日エリアコム株式会社,https://www.asahi-area.com/,除外,朝日新聞グループ,https://www.asahi-area.com/contact.htm,real_form_confirmed,2026-08-12
株式会社ジェー・ビー・エフ,https://www.jbf.co.jp/,除外,広告・印刷・販促パートナー／実在フォーム未確認(contact_link_only),https://www.jbf.co.jp/contact.html,contact_link_only,2026-08-12
株式会社福広,https://fuku-kou.com/,除外,地域広告・屋外広告／実在フォーム未確認(no_contact_link),,no_contact_link,2026-08-12
サンコー・コミュニケーションズ株式会社,https://sanko-com.jp/,除外,熊本の総合広告会社／実在フォーム未確認(contact_link_only),mailto:info@sanko-com.jp,contact_link_only,2026-08-12
合資会社鹿児島広告社,https://kagoad55.synapse-site.jp/,除外,地域の看板・屋外広告／実在フォーム未確認(contact_link_only),https://kagoad55.synapse-site.jp/contact.html,contact_link_only,2026-08-12
DMカードジャパン株式会社,https://www.dmcj.co.jp/,除外,製造業・建築業向け媒体で店舗クライアント接点が薄い,https://www.dmcj.co.jp/contact/,real_form_confirmed,2026-08-12
株式会社ネクストインターナショナル,https://nx-inter.com/,除外,総合卸売・輸出入で広告支援受託会社ではない,https://nx-inter.com/contact.php,real_form_confirmed,2026-08-12
株式会社インターカラー,https://www.intercolor.co.jp/,送付対象,紙媒体中心の広告代理・集客支援,https://www.intercolor.co.jp/#form,real_form_confirmed,2026-08-12
恩詩國際行銷有限公司,https://www.ansming.com/,除外,台湾法人で日本国内店舗支援パートナーの主対象外,https://www.ansming.com/%E8%88%87%E6%88%91%E5%80%91%E8%81%AF%E7%B5%A1,real_form_confirmed,2026-08-12
JC Connect株式会社,https://www.jc-connect.co.jp/,送付対象,訪日・海外向けSNS公式アカウント・広告支援,https://www.jc-connect.co.jp/contact2,real_form_confirmed,2026-08-12
株式会社gr.a.m,https://gra-m.com/,除外,上場会社クロス・マーケティンググループの関連会社,,site_fetch_failed:SSLError,2026-08-12
株式会社ときしろ,https://tokishiro.jp/,除外,広告撮影・Web制作・販促デザイン／実在フォーム未確認(no_contact_link),,no_contact_link,2026-08-12
株式会社アネックスデジタルジャパン,https://annex-digital.com/,送付対象,PR・映像・商業施設イベント・地方創生,https://annex-digital.com:443/contact,real_form_confirmed,2026-08-12
