display_name,url,contact_url,evidence,source_url,company_name,fetch
GMOグローバルサイン・ホールディングス,https://www.hakaru.ai/,https://www.hakaru.ai/form/estimate/,スマホでメーターを撮影するだけで、検針業務のミスをなくし誤検針対策ができるメーター検針・点検のための業務支援サービス「hakaru.ai(ハカルエーアイ) byGMO」を紹介。誰でも簡単に操作できるスマホアプリで撮影したメーター画像は台帳に自動保存。検針値はAIで読み取り、パソコン画面でも同時に確認できるからエクセル入力の作業も不要!検針後の事務作業時間も大,https://messe.nikkei.co.jp/exhibitor/info/BC/ja/25450/,GMOグローバルサイン・ホールディングス株式会社,ok
L is B,https://l-is-b.com/ja/,https://l-is-b.com/ja/contact/,さまざまな業界から支持を受けている現場チャット「direct/ダイレクト」 、撮影するだけでクラウドに自動分類&保存ができる「タグショット/タグアルバム」、 現場のナレッジ(知識)やノウハウ(技術)を動画で共有できる企業向け技術継承ソリューション「ナレッジ動画」など、現場業務を効率化するソリューションを数多くご用意しております。 ,https://messe.nikkei.co.jp/exhibitor/info/BC/ja/25714/,株式会社L,ok
find,https://www.finds.co.jp/service/find,https://www.finds.co.jp/service/find/contact,商業施設や交通機関など35社・3500施設に導入され、落とし物関連業務における対応時間を平均8割削減・返却率を3倍に向上させる「落とし物クラウドfind」。 画像認識AIにより、スマホで撮影するだけで特徴入力が完了。問い合わせ対応も専用チャットボットが24時間自動化し、現場のアナログ業務を劇的に効率化させるクラウドサービス。 ,https://messe.nikkei.co.jp/exhibitor/info/BC/ja/25686/,,ok
オーツーカプセルボックス,https://o2-capsule.com/company/,https://o2-capsule.com/contact/,最先端の健康器具として高気圧酸素カプセルBOXを実際に体験しながら、 効果効能や価格の説明も受けることができる。 ,https://messe.nikkei.co.jp/exhibitor/info/BC/ja/25710/,酸素カプセル・酸素ボックスの製造メーカー株式会社,ok
カシオ計算機,https://www.casio.co.jp/,https://www.casio.co.jp/contact/,建物施設の各種設備と連携できるプロジェクターを展示する。 建物内の案内サインやデジタルサイネージなど、活用例を紹介。 ,https://messe.nikkei.co.jp/exhibitor/info/BC/ja/25775/,カシオ計算機株式会社,ok
スマートビルディングコンソーシアム,https://smart-bc.or.jp/,https://smart-bc.or.jp/information.html,一般社団法人スマートビルディングコンソーシアムと会員企業の紹介、スマートビルディングの現状と今後についての説明と、中央監視装置のデモ展示を行う。 ,https://messe.nikkei.co.jp/exhibitor/info/BC/ja/25592/,,ok
トゥインクルワールド,https://www.twinkle-world.co.jp/,https://www.twinkle-world.co.jp/contact/,"大規模修繕・バリューアップ工事を専門に手がける当社が、建物の状態に合わせた最適なプランをご提案。 取引企業様は900社を超え、施工件数はビルを始めマンション、アパートなど6,400件以上の実績を誇る。 建物診断・見積もり無料。まずは適正価格の理由と確かな技術力ををブースでチェックいただきたい。 ",https://messe.nikkei.co.jp/exhibitor/info/BC/ja/24758/,トゥインクルワールド株式会社,ok
ハイエレコン,https://tagemon.jp/,https://tagemon.jp/contact/,「タグ衛門」は、鍵・備品・工具などをRFIDで一括読み取りし、棚卸と持出返却台帳をペーパーレスで厳密に管理できるソリューションである。 月250本超の鍵棚卸が2名90分→1名90秒となった事例もあり、紛失防止と人手不足対策に有効である。 ゲート連携で持出禁止品の通過をパトライトやメールで通知できる。 ビル管理業界でDX推進を加速する「タグ衛門」を、ぜひ展示ブ,https://messe.nikkei.co.jp/exhibitor/info/BC/ja/25541/,株式会社ハイエレコン,ok
ファシル,https://facil.jp/,https://facil.jp/performance/,2021年グッドデザイン賞受賞の「〈地域貢献型〉災害用備蓄スタンドBISTA」は建物内の様々な空間に設置できる見せる防災スタンド。また災害用無線機などの通信機器を備えた「災害対策本部モデル」も展示する。また、2022年グッドデザイン賞・ベスト100を受賞した「〈社会貢献型〉シェアする防災セット」は、防災×SDGsの取り組みとして注目されている。 ,https://messe.nikkei.co.jp/exhibitor/info/BC/ja/25110/,ファシル株式会社,ok
ミツモア,https://pro-one-cloud.com/privacy-policy/,https://pro-one-cloud.com/materials/service/,プロワンは、短期・小口工事が多いリフォーム・設備工事・メンテナンス企業向けの業務管理システム。見積〜受発注〜工事管理〜報告〜原価・収支までを一元化し、現場の入力負荷を増やさず、案件ごとの進捗と利益を見える化する。属人化やExcel運用、部門間の分断を解消し、「現場の作業が会社の資産になる」仕組みをつくるプラットフォーム。詳細は、ブースでデモをご覧ください。 ,https://messe.nikkei.co.jp/exhibitor/info/BC/ja/25901/,運営元株式会社,ok
三和,https://www.shop.sanwa-inc.jp/,https://www.shop.sanwa-inc.jp/contact,掃き掃除、吸い込み、乾拭き、そして水拭きと1台で4つの機能が搭載されている掃除ロボットPHANTASのデモンストレーションを実施。その他、ビルメンテナンス業界で役に立つ使い捨てタオルやニトリル手袋といった衛生資材も多数展示する。 ,https://messe.nikkei.co.jp/exhibitor/info/BC/ja/24446/,株式会社三和,ok
三菱電機ビルソリューションズ,https://www.mebs.co.jp/,https://www.mebs.co.jp/privacy/contact/,ビルIoTプラットフォーム『Ville-feuille』を中心に、『Smart Building Solution』を展開し、関連する製品やサービスを展示。 ,https://messe.nikkei.co.jp/exhibitor/info/BC/ja/25561/,三菱電機ビルソリューションズ株式会社,ok
住友セメントシステム開発,https://arclib.jp/,https://arclib.jp/material/,【ビルメンテナンス向け施設管理クラウドサービス】 ・施設管理用クラウドとして業界トップクラス(約2万棟)のサービス提供を継続しています。 ・20年を超える豊富な開発、導入経験から管理現場の課題に応じた提案・運用ができます。 【新機能:不具合進捗管理】 ・現場で発生した不具合の登録から対応状況の可視化、履歴管理までを一元的に行い、対応漏れや進捗の停滞を防止でき,https://messe.nikkei.co.jp/exhibitor/info/BC/ja/25426/,住友セメントシステム開発株式会社,ok
静岡県防災用品普及促進協議会,https://shizuokabousai.jp/,https://shizuokabousai.jp/contact/,安全で使いやすい抗菌消毒剤 SS-P3EXのご紹介 熱中症対策商品のご紹介 災害時に飲料水の支援がしあえるネットワークサービス「水の架け橋」のご紹介 ,https://messe.nikkei.co.jp/exhibitor/info/BC/ja/25653/,,ok
