address,business_description,company_name,decision,hub_evidence,maps_url,phone,reason,recurring_evidence,source_url,status,url
,福島県郡山市に拠点を置くホームページ制作会社。様々なタイプのWebサイトを制作しており、有名企業の実績も豊富。サイトの目的に沿ったWebコンサルティングを行い、制作後も広告運用やアクセスログ分析でサポートする。ほか、ホームページ制作だけでなく、取材や写真撮影、イラスト制作など、対応可能サービスが豊富。,合名会社マシマロ・ウェブ・クリエーション,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/mashimaro,MEOハブ候補,https://www.mashimaro.co.jp/works/
,東京を中心に展開するブランディングに強みを持つデザイン事務所。代表のこれまでのデザイン事務所での経験を活かし、充実した提案資料・分析資料を作成。クライアント対して精緻なコンサルティングを提供可能としている。紙媒体のデザインやホームページデザインだけでなく、ワークショップ・研修などを行なっているのも特徴的。,ILY.（アイリー）株式会社,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/ily,MEOハブ候補,https://ily.today/projects/
,特にECサイト構築・ECモールの出店から開店までをサポートいたします。ファッション系・飲食系商品のデザイン・運用代行などの実績があるスタッフがおりますので、お任せください。,合同会社いとぐち,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/itoguti,MEOハブ候補,https://itoguti.co.jp/portfolio/
,ご予算２０万円以下の方でも制作いたします！制作のみに留まらず、運用までトータルでバックアップいたします。SNS運用についてのご相談もお任せ下さい！「自分でやってみたいけどどうしたらいいのか全然わからない」「できるところは自分でやって、難しそうなところだけお願いしたい」など、様々なケースに合わせてお見積り致します。お気軽にお問い合わせ下さい。,Lumical Ace,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/lumicalace,MEOハブ候補,https://emingsekkotsuin.jp
,"会計事務所向けの事務用品の企画・製造・販売、財務・税務システムの企画・開発・販売、ホームページ制作等を行なっている、東京都千代田区の制作会社。「事務所PRホームページ」として、月額3,000円からの格安パッケージを提供。管理画面からの記事の更新、メールフォーム、動画埋め込みの機能が標準で用意されている。
さらに同社の「ゆりかご倶楽部」では、税務ニュースや会計トピックスなど専門性の高いコンテンツを提供。発注者側は、そのコンテンツを自社のホームページへ自由に掲載することが可能。これによってSEO効果の向上と、一度来訪した潜在顧客のリピートを促すことが期待できる。",株式会社エッサム,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/essam,MEOハブ候補,http://www.essam.co.jp/
,"cottsuはデジタルで実施する戦略を起点に、課題解決の提案をクライアントにします。
デジタルマーケティングによる「集客」と「収益」を提供します。

またcottsuは株式会社INNOSENCEと株式会社アイデアランプの
共同出資による、合弁会社（ジョイントベンチャー）です。
・アイデアランプの持つ、WEB企画・制作のノウハウと技術
・イノセンスの持つ、動画企画・制作のノウハウと技術
を掛け合わせたWEBと動画コンテンツの両面からお客様に
WEBマーケティングのソリューションを提供いたします。",株式会社cottsu,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/cottsu,MEOハブ候補,https://cottsu.com/
,"当社では世界標準CMSのMovable Typeがセットされたホームページ制作を行っております。レスポンシブデザインによるスマホ対応、10ページまでの制作が含まれて初期費用49,800円（税抜）、月額費用5,000円（税抜）と非常に安価です。

実績はなんと1,800社以上。集客・SEOにも強く、自分でカンタンに更新できるCMSです。

また、一つひとつのホームページはデザイナーにとってすべて大切な作品としてデザインをするセミオーダー制です。

そのため、安価な価格でありながら劇的に素敵なホームページが出来上がるかと思います。",アレグレット,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/allegretto,MEOハブ候補,https://www.allegretto.co.jp/works/
,"HP制作、SNS運用代行、動画制作、GoogleMapの対策など、一社で多くのWeb導線構築ができます。それでいて格安な料金設定も魅力。

「高すぎる日本のマーケティングを改革し、多くの素晴らしい企業の商品・サービスをより多くの消費者に届ける」という、ちょっと長めのミッションを掲げています。",株式会社Rizonia,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/rizonia,MEOハブ候補,https://pagy.jp/
,"取材・撮影・デザイン・コンテンツ作成など、コーポレートサイト制作に必要なすべてをお任せください。
WordPressを用いて開発するため、情報の更新も容易に行えます。",株式会社グランフィット,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/granfit,MEOハブ候補,https://granfit.co.jp/
,"大阪府大阪市にあり、元々遺影写真の作成加工から始まっており、業界知識に秀でた会社。60社以上の葬儀社のホームページの制作を行っており、訪れたユーザーからの申込みに繋がるための施策に強みを持つ。その集客支援方法は、コンテンツの更新管理、SEO、リスティング広告の運用など幅広く対応。
さらに同社は「レイアウト」「コンテンツの策定」「導線確保」などを意識した集客のためのデザインに強みを持っており、訴求力・営業力、認知度向上など目的別にサービスを提供している。またホームページ制作の他にも、様々な媒体の制作に対応しており、プロモーション動画や折込チラシなどの紙媒体、のぼりなどのデザイン制作も手がける。",ベーシック株式会社,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/basic-web,MEOハブ候補,https://www.basic-web.co.jp/
