display_name,url,contact_url,evidence,source_url,company_name,fetch
Anonimo Design,https://anonimodesign.com/,https://anonimodesign.com/contact/,江戸に伝わる藍染めの技術を詰め込んだ生地など、日本の技術と伝統を生かした壁面装飾の可能性について提案する。 ,https://messe.nikkei.co.jp/exhibitor/info/JS/ja/25923/,会社名株式会社,ok
BUSAN ENPLA,http://www.plazen.co.kr/,,韓国の汎用アクリルや機能性アクリル、アクリルの加工品をアピールする。 ,https://messe.nikkei.co.jp/exhibitor/info/JS/ja/24625/,,ok
Centor オーストラリア,https://centor.com/jp/,https://centor.com/jp/wheretobuy,S4/S2スクリーン網戸 / シェードシステムは、大開口(9m x 4m)でも指先で簡単に操作でき、贅沢なインサイドアウトサイドリビングを提供。大開口、コーナースクリーン網戸、ファブリックのコンビネーションスクリーンはCentor 独自のロードバランシングテクノロジーがフィンガーオペレーションを可能にし、開口部全体をスムーズに滑り、お好みの位置で簡単に止めら,https://messe.nikkei.co.jp/exhibitor/info/JS/ja/24443/,,ok
Dongguan Yaohao Intelligent Technology,http://www.ming-sun.com,,インテリア型:シーリングライト、ペンダントライト、スタンドライト等 施設照明器具:ダウンライト、スポットライト、防塵防滴防汚灯(三防灯)、蛍光管、回転式トラックライト、グリッドライト等 電工関連部品:ジョインター、アダプター、吊り金具等 ,https://messe.nikkei.co.jp/exhibitor/info/JS/ja/24692/,,ConnectionError
EFAラボラトリーズ,https://www.efa.co.jp/,https://www.efa.co.jp/contact,かつて、環境リスクにシビアな国際投資機関から不動産売買DDとして従来の日本のアスベスト分析結果が信頼できず使えないと判断されていた課題を解決するため、不動産取引専門の環境コンサル機関とアメリカ最大手の一社であったフォーレンジック社の合弁で設立されたのがEFAラボラトリーズです。日本では2014年に規格化した偏光顕微鏡による分析を2007年からサービス提供して,https://messe.nikkei.co.jp/exhibitor/info/JS/ja/24380/,株式会社EFAラボラトリーズ,ok
G&B JAPAN,https://gnbjp.com/,https://gnbjp.com/bbs/qawrite.php,演出照明及び装飾の材料を専門で販売している会社です。 ,https://messe.nikkei.co.jp/exhibitor/info/JS/ja/25691/,JAPAN株式会社,ok
HAPPY JOINT,https://refala.jp/,https://refala.jp/contact/,光るインテリア「REFALA(リファラ)」は、屋内外で使用できるLEDファニチャーを中心に、空間演出の新たな可能性を提案するブランドである。ホテル・商業施設・イベント・展示会など、多様なシーンでの導入実績をもとに、販売・レンタルの両面から最適なソリューションを提供している。JAPAN SHOP 2026では、実際の使用シーンを想定した展示を行う。 ,https://messe.nikkei.co.jp/exhibitor/info/JS/ja/25150/,,ok
HONGKONG WUFENG INDUSTRY,https://www.fcled.com/zh-CN,https://www.fcled.com/zh-CN/contact,今年はLEDテープライト、LEDスリムライト、LEDネオンライト、LEDドライバー電源、LEDドアセンサー、LEDハンドスイープセンサー、LEDタッチセンサー及び、LED人感センサー等の取付効果を展示。 ,https://messe.nikkei.co.jp/exhibitor/info/JS/ja/24812/,,ok
Ha Partners,https://japanesematerials.com/,https://japanesematerials.com/pages/contact,ハ・ハウスは、住宅や商業空間向けに厳選したプロダクトをご紹介しています。日本の自然素材や伝統的なものづくりを、デザインシステムとして提案し、その価値を日本だけでなく海外にも広げていくことを目指しています。ハ・ハウスは、つくり手・サプライヤー・デザイナー・バイヤーをつなぐプラットフォームです。日本素材の売り手・買い手の皆さま、ぜひブースへお立ち寄りください。 ,https://messe.nikkei.co.jp/exhibitor/info/JS/ja/25945/,,ok
INAZMA,https://inazma.jp/,,アミューズメント施設や展示施設から商空間など様々なシーンで使用可能な演出照明機材及び照明演出システム、音響システム、映像機器の展示を行う。 ,https://messe.nikkei.co.jp/exhibitor/info/JS/ja/24410/,INAZMA株式会社,ok
JCD,https://www.jcd.or.jp/jp/,https://www.jcd.or.jp/jp/form/form.php,「未来をひらくクリエイター30人展/U45」 多くの空間デザイナーの中からJCDが注目する45歳以下のクリエイターを選出。商空間デザインの具体的な提案や計画手法を模型や映像やサンプル展示などで紹介。あわせて、4日間にわたって出展者計15名によるトークセッションや、JCDが主催する「プロダクトオブザイヤー2025」受賞・入賞作品の展示を行う。 ,https://messe.nikkei.co.jp/exhibitor/info/JS/ja/25685/,,ok
Kenner,https://kenner.co.jp/,https://kenner.co.jp/i.contact.html,1972年創業の老舗ロートアイアンメーカーとして培ってきた技術と意匠を生かした看板を紹介する。今回はステンレスとアクリル素材を用い、多種多様なクリエイティブな商品を展示する。 ,https://messe.nikkei.co.jp/exhibitor/info/JS/ja/25203/,,ok
LINGTONG EXHIBITION SYSTEM,https://www.ling-tong.cn/,https://www.ling-tong.cn/contactus.html,展示品:発光スクエア押出材、ファブリックライトボックス、店舗内装用フロアシステム、商品展示用オーダーメイド展示ケース・陳列棚、展示会・イベント向けアルミシステム ,https://messe.nikkei.co.jp/exhibitor/info/JS/ja/24804/,,ok
LIXIL,https://toilet-cloud.lixil.co.jp/,,「LIXIL Toilet Cloud」は、AIによるデータ分析でトイレの清掃業務を変革するDXソリューションである。利用状況に応じた最適な清掃指示と満空情報の可視化により、清掃員の無駄な待機や移動時間を劇的に削減。さらに、店舗に最適なパブリック向けクイックタンク式床置便器には「詰まり検知機能」を新搭載。万一の詰まりも即座に検知してあふれを防ぎ、フロアへの浸,https://messe.nikkei.co.jp/exhibitor/info/JS/ja/25213/,,ok
