address,business_description,company_name,decision,hub_evidence,maps_url,phone,reason,recurring_evidence,source_url,status,url
東京都渋谷区神宮前６丁目１７番１１号,"株式会社デジタリフト デジタリフト 証券番号 9244 東証グロース デジタルマーケティング領域で広告配信やコンサルを行い、クライアントのビジネス最大化を追求。アジャイル型広告運用を通じ、エンドユーザーに理想的な情報提供を実現します。 サービス業 コンサルティング・経営支援業界 東京都渋谷区神宮前６丁目１７番１１号 更新日：2026年06月27日 業界分類 業績 評判 求人・採用 有価証券報告書 株式会社デジタリフトはどんな会社 株式会社デジタリフトの特徴は、デジタル広告のトレーディングデスクを軸に、コンサルティング、SNS運用、システム企画・開発まで手掛ける、東京都渋谷区のデジタルマーケティング企業。アジャイル型広告運用による広告配信の設計からレポート分析まで一貫して提供し、企業のマーケティング施策を支援する東証上場のマーケティング企業。 業種は、デジタルマーケティング, トレーディングデスク, コンサルティング, SNS運用, システム企画・開発。株式会社デジタリフトの資本金は、1億3646万円 です。 このページに掲載されている内容は、2026年06月27日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 株式会社デジタリフトの証券情報 英語名称 代表者名 百本 正博 証券コード 9244 上場市場 東証グロース 上場年月日 2021年9月28日 設立年月日 2012年11月27日 資本金 139（単位：百万円） 決算月 9月30日 業種 サービス業 従業員 従業員数（単独）:52人 従業員数（連結）:61人 平均年齢:35.8歳 平均年収 5,030千円 上場状態 上場 EDINETコード E36961 ※株式会社デジタリフトの決算情報は、 官報 及び EDINET 、企業ホームページに掲載されている決算公告、有価証券報告書より引用したデータを掲載しています。訂正などあれば、 こちらまでご連絡ください。 株式会社デジタリフトのIR・株価情報 このページでは、株式会社デジタリフトの最新のIR情報・株価を調べることができます。 公開されている情報からわかりやすく、株式会社デジタリフトの業績をまとめています。 投資の勧誘を目的とするものではなく、投資判断の参考として投資一般に関する情報・企業情報の提供を目的とするものです。 当サイトの情報に基づいて被ったいかなる損害についても、当サイトは一切の責任を負いません。 投資に関するすべての決定は、ご自身で判断されるようお願いします。 株価情報などは、 バフェットコード 、 Yahoo!ファイナンス で最新情報を確認してください。（※外部サイト） 株式会社デジタリフトの業績ハイライト（単位：百万円） 企業の財務状況を多角的",株式会社デジタリフト,keep,デジタルマーケティング / SNS運用,,,,運用 / 支援 / コンサルティング,https://houjin.goo.to/corporations/8011301019084,MEOハブ候補,https://digitalift.co.jp/
大阪府大阪市西区江戸堀２丁目６番３３号,"株式会社ビーアンドピー ビーアンドピー 証券番号 7804 東証スタンダード 幅広いサービスを展開し、販促活動を支援する企業で、インクジェットプリントやデジタルサイネージ、デジタルプロモーションを提供。新技術を取り入れたトータルサポートが強み。 製造業(その他製品) 広告業界 大阪府大阪市西区江戸堀２丁目６番３３号 更新日：2026年08月21日 業界分類 業績 評判 求人・採用 有価証券報告書 株式会社ビーアンドピーはどんな会社 株式会社ビーアンドピーの特徴は、リアルとデジタルの融合を目指す企業で、特にインクジェットプリント、デジタルサイネージ、デジタルプロモーションを中心に幅広いサービスを提供しています。業界最大級のワイドインクジェットプリンターを活用し、販売促進用広告やインテリア内装に関わるソリューションを展開。また、デジタルプロモーション事業では、EC事業の支援を行い、クライアントのニーズに応じたカスタマイズされたサービスを提供しています。デジタル技術の進化に敏感に反応し、新しいビジネスモデルに積極的に取り組む姿勢が特徴的で、顧客の販促活動をトータルでサポートすることに力を入れています。 業種は、印刷業, デジタルサイネージ, デジタルプロモーション。株式会社ビーアンドピーの資本金は、1000万円 です。 このページに掲載されている内容は、2026年08月21日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 株式会社ビーアンドピーの証券情報 英語名称 代表者名 和田山 朋弥 証券コード 7804 上場市場 東証スタンダード 上場年月日 2019年7月24日 設立年月日 1985年10月22日 資本金 288（単位：百万円） 決算月 10月31日 業種 その他製品 従業員 従業員数（単独）:188人 従業員数（連結）:208人 平均年齢:37.6歳 平均年収 5,600千円 上場状態 上場 EDINETコード E34800 ※株式会社ビーアンドピーの決算情報は、 官報 及び EDINET 、企業ホームページに掲載されている決算公告、有価証券報告書より引用したデータを掲載しています。訂正などあれば、 こちらまでご連絡ください。 株式会社ビーアンドピーのIR・株価情報 このページでは、株式会社ビーアンドピーの最新のIR情報・株価を調べることができます。 公開されている情報からわかりやすく、株式会社ビーアンドピーの業績をまとめています。 投資の勧誘を目的とするものではなく、投資判断の参考として投資一般に関する情報・企業情報の提供を目的とするものです。 当サイトの情報に基づいて被ったいかなる損害についても、当サイトは一切の責任を負いません。 投資に関するすべての決定",株式会社ビーアンドピー,keep,販売促進 / 販促,,,,支援 / サポート,https://houjin.goo.to/corporations/7120001046701,MEOハブ候補,https://www.bandp.co.jp/
東京都渋谷区千駄ヶ谷４丁目２３番５号,"株式会社サニーサイドアップグループ サニーサイドアップグループ 証券番号 2180 東証スタンダード マーケティング＆コミュニケーションを広範囲に提供するグループで、国内外でのスポーツマネジメントやプロモーションに注力。新しい価値を創造し、楽しく刺激的な社会を目指す。 サービス業 コンサルティング・経営支援業界 東京都渋谷区千駄ヶ谷４丁目２３番５号 更新日：2026年08月18日 業界分類 業績 評判 求人・採用 有価証券報告書 株式会社サニーサイドアップグループはどんな会社 株式会社サニーサイドアップグループの特徴は、マーケティング＆コミュニケーション分野におけるリーダーとして、PR&プロモーション、スポーツ、ソーシャル、ブランディングなど多岐にわたるサービスを展開している。1985年に設立され、現在では600名以上のメンバーが国内外で活動中。特にスポーツ選手のマネジメントや広報代理業の実績は顕著で、幅広い業務を通じて多くのクライアントへ新しい価値を提供している。持株会社を頂点に、複数の子会社と連携しながら成長を続けており、今後も注目される企業である。 業種は、PR&プロモーション, マーケティング, スポーツ, ソーシャル, ブランディング。株式会社サニーサイドアップグループの資本金は、5億4776万円 です。 このページに掲載されている内容は、2026年08月18日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 株式会社サニーサイドアップグループの証券情報 英語名称 SUNNY SIDE UP GROUP Inc. 代表者名 次原 悦子 証券コード 2180 上場市場 東証スタンダード 上場年月日 2008年9月5日 設立年月日 1985年7月1日 資本金 547（単位：百万円） 決算月 6月末日 業種 サービス業 従業員 従業員数（単独）:39人 従業員数（連結）:360人 平均年齢:39.2歳 平均年収 6,460千円 上場状態 上場 EDINETコード E21381 ※株式会社サニーサイドアップグループの決算情報は、 官報 及び EDINET 、企業ホームページに掲載されている決算公告、有価証券報告書より引用したデータを掲載しています。訂正などあれば、 こちらまでご連絡ください。 株式会社サニーサイドアップグループのIR・株価情報 このページでは、株式会社サニーサイドアップグループの最新のIR情報・株価を調べることができます。 公開されている情報からわかりやすく、株式会社サニーサイドアップグループの業績をまとめています。 投資の勧誘を目的とするものではなく、投資判断の参考として投資一般に関する情報・企業情報の提供を目的とするものです。 当サイトの情報に",株式会社サニーサイドアップグループ,keep,ブランディング,,,,支援 / コンサルティング,https://houjin.goo.to/corporations/1011001044042,MEOハブ候補,https://www.ssu.co.jp/
東京都千代田区紀尾井町４番１号ニューオータニガーデンコート２２階,"株式会社ビッグビート ビッグビート BtoB企業のマーケティングコミュニケーション支援を行う広告会社で、戦略の企画から実行・分析までワンストップでサポート。クリエイティブな広告制作を通じて効果的なコミュニケーションを実現します。 情報・通信業 広告業界 東京都千代田区紀尾井町４番１号ニューオータニガーデンコート２２階 更新日：2025年12月11日 業界分類 業績 評判 求人・採用 株式会社ビッグビートはどんな会社 株式会社ビッグビートの特徴は、BtoB企業に特化したマーケティングコミュニケーション支援を提供する広告会社であり、企業のニーズに応じた戦略の企画立案から実行、分析までをワンストップで支援しています。クライアントの想いをわかりやすく伝えるためのクリエイティブワークを行い、広告制作を通じてターゲットニーズと合わせた効果的なコミュニケーションを実現しています。さらに、会議やセミナーなどのイベント運営をアウトソースし、効率的な運営をサポート。他にも、展示会やデジタルマーケティングを活用した広告活動や海外マーケットへの挑戦を支援する多様なサービスを展開。豊富な経験とノウハウを活かし、クライアントのビジネス成功のために強力なパートナーとして活動しています。 業種は、広告, マーケティング。株式会社ビッグビートの資本金は、6000万円 です。 このページに掲載されている内容は、2025年12月11日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 株式会社ビッグビートの企業情報 法人番号 2010001082662 企業名（法人名） 株式会社ビッグビート 読み方 ビッグビート 業種・業界 業務内容 郵便番号 〒102-0094 本社住所 東京都千代田区紀尾井町４番１号ニューオータニガーデンコート２２階 アクセス方法をGoogleMapで見る 証券コード 未上場 社長/代表取締役 非表示中 ホームページ https://www.***** 電話番号 03-3222***** FAX番号 03-3222***** 設立年 1995年 法人番号指定日 2015年10月05日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 最終登記更新日 2015年10月05日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 ※会社名・所在地・法人番号は 国税庁法人番号公表サイト の公表データです。電話番号・ホームページ・FAX番号は当サイトが独自に収集したもので、国税庁の公表項目ではありません。各項目の収集元・取得日は 電話番号 ・ ホームページ ・ FAX番号 の各ページでご確認いただ",株式会社ビッグビート,keep,デジタルマーケティング,,,,支援 / サポート,https://houjin.goo.to/corporations/2010001082662,MEOハブ候補,https://www.bigbeat.co.jp/
愛媛県松山市二番町３丁目６番地５,"株式会社ウイン ウイン ITを基盤とし、システム開発やWeb制作、広告企画、印刷など多岐にわたるビジネスソリューションを提供し、地域社会に価値を創出することを目指す企業です。 情報・通信業 IT業界 愛媛県松山市二番町３丁目６番地５ 更新日：2026年08月11日 業界分類 業績 評判 求人・採用 株式会社ウインはどんな会社 情報処理・システム開発・Ｗｅｂ制作・ＤＴＰ 文化事業部・イベント企画運営 一般労働者派遣事業（般３８－０１００３９） 有料職業紹介事業（３８－ユ－３０００１５）株式会社ウインの特徴は、ITを基盤としたビジネスソリューションを提供する企業は、愛媛松山・広島・大阪を中心に活動しています。主要事業にはシステム開発、Webサイト制作、広告企画デザイン、印刷、そして人材派遣が含まれ、地域のニーズに応える柔軟なサービス展開を行っています。特にWebシステム開発においては、顧客のビジネス成功を支援するため、高度な開発技術を駆使し、価値ある情報資産の創出を目指しています。また、広告デザインでは多様なメディアを使用し、効果的な広告戦略を提案。BPO事業では地域雇用の創出にも注力し、業務の効率化とサービス充実を図っています。 業種は、ITサービス, システム開発, 広告デザイン, 人材派遣。株式会社ウインの資本金は、3210万円 です。 このページに掲載されている内容は、2026年08月11日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 株式会社ウインの企業情報 法人番号 1500001000617 企業名（法人名） 株式会社ウイン 読み方 ウイン 業種・業界 業務内容 情報処理・システム開発・Ｗｅｂ制作・ＤＴＰ 文化事業部・イベント企画運営 一般労働者派遣事業（般３８－０１００３９） 有料職業紹介事業（３８－ユ－３０００１５） 郵便番号 〒790-0002 本社住所 愛媛県松山市二番町３丁目６番地５ アクセス方法をGoogleMapで見る 証券コード 未上場 社長/代表取締役 非表示中 ホームページ https://www.***** 電話番号 089-989***** FAX番号 089-935***** 設立年 1997年 法人番号指定日 2015年10月05日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 最終登記更新日 2015年10月05日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 ※会社名・所在地・法人番号は 国税庁法人番号公表サイト の公表データです。電話番号・ホームページ・FAX番号は当サイトが独自に収集したもので、国税庁の公表項目",株式会社ウイン,keep,Web制作 / WEB制作,,,,支援,https://houjin.goo.to/corporations/1500001000617,MEOハブ候補,https://www.pro-win.co.jp/
東京都渋谷区神宮前６丁目２５番８号神宮前コーポラス,"株式会社ブーマー ブーマー 幅広いマーケティング業務を展開し、ファッションやスポーツ領域に特化。イベント企画やウェブ制作も手掛け、ブランド価値の向上をサポートするクリエイティブなアプローチが特徴。 不動産業 広告業界 東京都渋谷区神宮前６丁目２５番８号神宮前コーポラス 更新日：2026年08月21日 業界分類 業績 評判 求人・採用 株式会社ブーマーはどんな会社 焼そば用蒸し麺製造販売株式会社ブーマーの特徴は、多様な広告業務を行う企業は、ファッション、ユースカルチャー、アクションスポーツといった分野に特化し、各種マーケティング戦略を総合的にサポートします。特にイベント企画や制作においては、ブランドイメージを最大限に引き出す斬新なアイデアを提供することに注力しています。加えて、デザイン業務やウェブ制作のコンサルティングも行い、オンラインプレゼンスを強化するための戦略的支援を提供。また、映像制作によるブランドストーリーの視覚的表現や、詳細な市場調査を通じたブランドコンサルティングも手掛け、競合環境や消費者ニーズを的確に把握した上で戦略的な提案を行っています。クライアントとの堅牢なパートナーシップを築きながら、クリエイティブで効果的なソリューション提供を目指しています。 業種は、広告代理店, マーケティング。 このページに掲載されている内容は、2026年08月21日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 株式会社ブーマーの企業情報 法人番号 9011001042006 企業名（法人名） 株式会社ブーマー 読み方 ブーマー 業種・業界 業務内容 焼そば用蒸し麺製造販売 郵便番号 〒150-0001 本社住所 東京都渋谷区神宮前６丁目２５番８号神宮前コーポラス アクセス方法をGoogleMapで見る 証券コード 未上場 社長/代表取締役 非表示中 ホームページ https://boom***** 電話番号 03-5778***** FAX番号 設立年 1989年 法人番号指定日 2015年10月05日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 最終登記更新日 2020年07月03日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 ※会社名・所在地・法人番号は 国税庁法人番号公表サイト の公表データです。電話番号・ホームページ・FAX番号は当サイトが独自に収集したもので、国税庁の公表項目ではありません。各項目の収集元・取得日は 電話番号 ・ ホームページ ・ FAX番号 の各ページでご確認いただけます。詳しくは データの出典について をご覧ください。 株式会社",株式会社ブーマー,keep,ウェブ制作 / 広告代理店,,,,支援 / コンサルティング / サポート,https://houjin.goo.to/corporations/9011001042006,MEOハブ候補,https://boomer.co.jp/
東京都渋谷区渋谷２丁目１９番２０号Ｎａｖｉ渋谷ＩＶ３Ｆ,"株式会社ブルーマークコンフィデンス ブルーマークコンフィデンス 多様なサービスを提供し、信頼を重視する企業で、マーケティングからITエンジニアリング、ヒューマンリソースサービスまで幅広く展開している。 コンサルティング・経営支援業界 東京都渋谷区渋谷２丁目１９番２０号Ｎａｖｉ渋谷ＩＶ３Ｆ 更新日：2025年12月11日 業界分類 業績 評判 求人・採用 株式会社ブルーマークコンフィデンスはどんな会社 セールスプロモーションが中心のマーケティング事業、人材派遣をメインとする法人ソリューション事業を展開しています。一都三県を中心に全国から仕事を受注しています。派１３－３１１１１２株式会社ブルーマークコンフィデンスの特徴は、信頼を第一に掲げたこの企業は、通信業界を中心に多様なサービスを提供しています。セールスプロモーションサービスでは、プロモーションイベントの運営や広告代理店へのバックアップを行い、顧客のブランディングを支援。さらに、ITエンジニアリングサービスでは、高い技術力を持つエンジニアがIT関連業務をサポートし、BPOサービスも展開しています。また、ヒューマンリソースを解決するBMCスタッフィングサービスは、労務管理を簡素化し、様々な職種に対応。お客様のニーズに応じたサービスを提供し、新しい価値を創造することを使命としています。 業種は、通信業界, マーケティング, ITエンジニアリング, BPO, ヒューマンリソースサービス。株式会社ブルーマークコンフィデンスの資本金は、1700万円 です。 このページに掲載されている内容は、2025年12月11日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 株式会社ブルーマークコンフィデンスの企業情報 法人番号 1010601048213 企業名（法人名） 株式会社ブルーマークコンフィデンス 読み方 ブルーマークコンフィデンス 業種・業界 業務内容 セールスプロモーションが中心のマーケティング事業、人材派遣をメインとする法人ソリューション事業を展開しています。一都三県を中心に全国から仕事を受注しています。派１３－３１１１１２ 郵便番号 〒150-0002 本社住所 東京都渋谷区渋谷２丁目１９番２０号Ｎａｖｉ渋谷ＩＶ３Ｆ アクセス方法をGoogleMapで見る 証券コード 未上場 社長/代表取締役 非表示中 ホームページ https://bm-c***** 電話番号 03-6457***** FAX番号 03-6457***** 法人番号指定日 2015年10月05日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 最終登記更新日 2018年04月11日 ※2015年10月",株式会社ブルーマークコンフィデンス,keep,広告代理店 / ブランディング,,,,管理 / 支援 / コンサルティング / サポート,https://houjin.goo.to/corporations/1010601048213,MEOハブ候補,https://bm-c.co.jp/
"東京都品川区・コンサルティング・経営支援業界・資本金5,000万円・従業員453名 コンサルティング・経営支援業界 東京都品川区大崎１丁目１１番２号","株式会社ＤＹＭ ディーワイエム 本社東京都品川区・コンサルティング・経営支援業界・資本金5,000万円・従業員453名 コンサルティング・経営支援業界 東京都品川区大崎１丁目１１番２号 更新日：2026年08月21日 業界分類 業績 評判 求人・採用 株式会社ＤＹＭはどんな会社 メディア事業、広告代理店事業、システム制作事業、 人材紹介事業、研修事業、タイ国の病院事業 業種は、M&Aコンサルティング, 障がい者雇用支援, WEB事業, 新卒紹介事業, 医療事業。株式会社ＤＹＭの資本金は、5000万円 です。 このページに掲載されている内容は、2026年08月21日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 株式会社ＤＹＭの企業情報 法人番号 8010701026434 企業名（法人名） 株式会社ＤＹＭ 読み方 ディーワイエム 業種・業界 業務内容 メディア事業、広告代理店事業、システム制作事業、 人材紹介事業、研修事業、タイ国の病院事業 郵便番号 〒141-0032 本社住所 東京都品川区大崎１丁目１１番２号 アクセス方法をGoogleMapで見る 証券コード 未上場 社長/代表取締役 非表示中 ホームページ https://dym.***** 電話番号 03-5745***** FAX番号 設立年 2003年 法人番号指定日 2015年10月05日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 最終登記更新日 2022年01月04日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 ※会社名・所在地・法人番号は 国税庁法人番号公表サイト の公表データです。電話番号・ホームページ・FAX番号は当サイトが独自に収集したもので、国税庁の公表項目ではありません。各項目の収集元・取得日は 電話番号 ・ ホームページ ・ FAX番号 の各ページでご確認いただけます。詳しくは データの出典について をご覧ください。 株式会社ＤＹＭのインボイス番号 インボイス番号 T8010701026434 適格請求書発行事業者登録番号 T8010701026434 適格請求書発行事業者登録日 2023年10月01日 適格請求書発行事業者情報更新日 2022年06月13日 ※インボイス制度(適格請求書発行事業者)とは、消費税の仕入税額控除のために、売手と買手がインボイスという書類やデータを交換する制度です。 株式会社ＤＹＭの業績・官報公開情報 官報情報に掲載された株式会社ＤＹＭの決算公告（業績情報）です。 詳しくは インターネット版官報 でご確認ください。 投資の勧誘を目的とするもので",株式会社ＤＹＭ,keep,広告代理店,,,,支援 / コンサルティング,https://houjin.goo.to/corporations/8010701026434,MEOハブ候補,https://dym.asia/
東京都中央区・サービス業界（その他）・資本金300万円・従業員50名 サービス業界（その他） 東京都中央区銀座１丁目９番７号陽栄銀座第２ビル３階,"株式会社ストライドウェブ ストライドウェブ 本社東京都中央区・サービス業界（その他）・資本金300万円・従業員50名 サービス業界（その他） 東京都中央区銀座１丁目９番７号陽栄銀座第２ビル３階 更新日：2023年01月30日 業界分類 業績 評判 求人・採用 株式会社ストライドウェブはどんな会社 業種は、Web制作, 広告, コンサルティング。株式会社ストライドウェブの資本金は、300万円 です。 このページに掲載されている内容は、2023年01月30日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 株式会社ストライドウェブの企業情報 法人番号 8011001065437 企業名（法人名） 株式会社ストライドウェブ 読み方 ストライドウェブ 業種・業界 業務内容 郵便番号 〒104-0061 本社住所 東京都中央区銀座１丁目９番７号陽栄銀座第２ビル３階 アクセス方法をGoogleMapで見る 証券コード 未上場 社長/代表取締役 非表示中 ホームページ https://www.s***** 電話番号 03-6274***** FAX番号 設立年 2010年 法人番号指定日 2015年10月05日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 最終登記更新日 2023年02月20日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 ※会社名・所在地・法人番号は 国税庁法人番号公表サイト の公表データです。電話番号・ホームページ・FAX番号は当サイトが独自に収集したもので、国税庁の公表項目ではありません。各項目の収集元・取得日は 電話番号 ・ ホームページ ・ FAX番号 の各ページでご確認いただけます。詳しくは データの出典について をご覧ください。 株式会社ストライドウェブのインボイス番号 インボイス番号 T8011001065437 適格請求書発行事業者登録番号 T8011001065437 適格請求書発行事業者登録日 2023年10月01日 適格請求書発行事業者情報更新日 2023年08月04日 ※インボイス制度(適格請求書発行事業者)とは、消費税の仕入税額控除のために、売手と買手がインボイスという書類やデータを交換する制度です。 本社エリアの不動産相場 東京都中央区 2024年 詳細を見る → 用途 ㎡単価 中央値 前年比 中古マンション 1,466,667 円/㎡ +15.2% 宅地・土地 2,900,000 円/㎡ +52.6% 出典: 国土交通省 不動産情報ライブラリを加工 / houjin.goo.to 本社所在地の災害リスク 東京都中央区 詳細を",株式会社ストライドウェブ,keep,Web制作 / WEB制作,,,,支援 / コンサルティング,https://houjin.goo.to/corporations/8011001065437,MEOハブ候補,https://www.stride-web.co.jp/
東京都渋谷区千駄ヶ谷５丁目１４番１０号,"株式会社フォロアス フォロアス 採用支援サービスを提供する企業は、多様なWeb広告や制作サービスを通じて、効果的な採用活動を可能にします。求人媒体との連携で企業の採用力を強化します。 広告業界 東京都渋谷区千駄ヶ谷５丁目１４番１０号 更新日：2026年08月21日 業界分類 業績 評判 求人・採用 株式会社フォロアスはどんな会社 株式会社フォロアスの特徴は、採用支援サービスを展開するこの企業は、求人媒体だけではなく、各種Webサービスを組み合わせて多面的なアプローチを行い、企業の採用力向上に尽力しています。提供するサービスには、Facebook・Instagram広告やディスプレイ広告、リスティング広告、さらに採用ページやVR対応3D画像、動画制作などが含まれ、求職者との接点を増やし、魅力的な情報を提供することに注力しています。特に、細かなターゲティングを可能にする広告配信方式や、視覚的に強いインパクトを持つVRや動画は、企業の魅力を効果的に伝える手段として重宝されています。 業種は、採用支援サービス, Webマーケティング。株式会社フォロアスの資本金は、1000万円 です。 このページに掲載されている内容は、2026年08月21日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 株式会社フォロアスの企業情報 法人番号 8011001101943 企業名（法人名） 株式会社フォロアス 読み方 フォロアス 業種・業界 業務内容 郵便番号 〒151-0051 本社住所 東京都渋谷区千駄ヶ谷５丁目１４番１０号 アクセス方法をGoogleMapで見る 証券コード 未上場 社長/代表取締役 非表示中 ホームページ https://foll***** 電話番号 03-6380***** FAX番号 設立年 2014年 法人番号指定日 2015年10月05日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 最終登記更新日 2017年05月30日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 ※会社名・所在地・法人番号は 国税庁法人番号公表サイト の公表データです。電話番号・ホームページ・FAX番号は当サイトが独自に収集したもので、国税庁の公表項目ではありません。各項目の収集元・取得日は 電話番号 ・ ホームページ ・ FAX番号 の各ページでご確認いただけます。詳しくは データの出典について をご覧ください。 株式会社フォロアスのインボイス番号 インボイス番号 T8011001101943 適格請求書発行事業者登録番号 T8011001101943 適格請求書発行事業者登録日",株式会社フォロアス,keep,Webマーケティング,,,,支援,https://houjin.goo.to/corporations/8011001101943,MEOハブ候補,https://followus.jp/
