address,business_description,company_name,decision,hub_evidence,maps_url,phone,reason,recurring_evidence,source_url,status,url
,広島県広島市に本社を置く、CG・ホームページ・映像の制作を提供している会社。自社で広島県の情報をインターネット配信しているニュースサイトや教育情報サイトを運営している。ホームページ制作では不動産業界に強みを持つ。,株式会社QLEA（クリア）,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/qlea,MEOハブ候補,http://www.qlea.co.jp/work/web.html
,沖縄県豊見城市にある制作会社。格安・短納期という点に強みを持っており、最大7ページのホームページを1週間以内での納品を相談可能。事業の立上げ期の企業様や、活動を始めたばかりの個人事業主など、急ぎでホームページを制作したい場合におすすめ。,有限会社メディアちゃんぷる沖縄,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/mco,MEOハブ候補,http://isp.okinawa.jp/
,埼玉県さいたま市に本社を構えて事業を行なっている会社。エクステリア・造園業者向けホームページ制作サービス「ガルテンブログ」を運営している。3DCADで作成された図面やパース画像、VR動画を使ったホームページを制作することが可能。,オーセブン株式会社,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/o-seven,MEOハブ候補,https://gartenblog.jp/index.php?catid=20&blogid=9&skinid=28
,東京都中央区を拠点に大阪、福岡にも展開している企業。ホームページ制作やシステム開発を提供する。,株式会社media it.,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/me-it,MEOハブ候補,http://me-it.net/jigyo.html
,ドローン・VRなど動画コンテンツの制作、ホームページ制作、システム開発、Webマーケティングの企画・提案、印刷物のデザイン制作を提供している制作会社。各種ネット広告の運用支援やオウンドメディアを活用したマーケティング支援も提供可能。新潟県新潟市を拠点に事業を展開している。,株式会社プレスメディア,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/pressmedia,MEOハブ候補,https://pressmedia.co.jp/contents/works/
,レスポンシブ対応のサイト構築を得意としており、既存のPCサイトのレスポンシブ対応も行う,株式会社インタラクティブ・コミュニケーション・デザイン,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/icd,MEOハブ候補,https://www.icd.co.jp/
,ユーザビリティを考慮した、多種多様なデバイスに最適なデザインを提案する愛知県名古屋市の制作会社。IRツールやカタログなどの紙媒体にも対応,株式会社弘春堂,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/koshundo,MEOハブ候補,http://www.koshundo.co.jp/
,3段階のホームページ制作パッケージを用意している制作会社。,株式会社ビジネスコンピュータ,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/believe,MEOハブ候補,https://www.believe.co.jp/web
,デジタルカタログや学参物、製品カタログなどのグラフィックデザインを提供している。ホームページ制作、システム開発にも対応可能。,株式会社秀巧堂,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/syukodo,MEOハブ候補,https://www.syukodo.co.jp/
,愛媛県西条市にある制作会社で地域に密着した対応を謳っている。ホームページ制作に関しては企画から運用までをトータルでサポート。またドローンによる撮影も対応しており、他社とは違うデザインのホームページを制作したい会社におすすめ。,藤田電機株式会社,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/puclub,MEOハブ候補,https://www.puclub.co.jp/#works
,名古屋と大阪に拠点を持つホームページ制作会社。企画から構築、運営までトータルにサポートを行う。システム開発やサーバー・社内ネットワークの構築にも対応可能。,株式会社デイブレイクフレーバー,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/daybreakflavor,MEOハブ候補,http://www.daybreakflavor.net/products.cfm
,名古屋と東京に拠点を持つホームページ制作会社。ECシステム・UI/UXデザイン・GPS管理・大量の画像処理・キュレーションサイト・カタログシステムなどシステム開発が伴うものも含め、幅広く対応する。,スペース・アイ株式会社,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/space-i-com,MEOハブ候補,https://www.space-i.com/websystem-app/
,"設立27年の歴史を持つ、マーケティング支援を提供している会社。イベント運営、ホームページ制作、印刷物・ノベルティの制作などを提供。ホームページ制作では製造・流通・小売・サービス・建設・不動産・学校・医療などの多様な業種業態に対応。20,000ページを超える大規模サイトの運用経験も保有している。

設立27年の歴史を持つホームページ制作会社。マーケティング支援サービスに強みを持っており、その中でもイベント関連の業務を得意としている。",株式会社大塚ビジネスサービス,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/otsuka-bs,MEOハブ候補,https://www.otsuka-bs.co.jp/index.html
,ホームページ制作からネット集客サポート「ウェブヤ」による集客サポートまで行う会社。「ウェブヤ」では顧客の予算に応じてサービス内容を設計する。,合同会社CATTAIL,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/cattail,MEOハブ候補,https://www.cattail.co.jp/#section_service
,Web集客に強みを持つ制作会社。自社ページでSEOに関する情報発信を行なっているほか、集客に関するセミナーも開講している。,モデリング株式会社,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/amebaownd,MEOハブ候補,https://web-analytics.amebaownd.com/pages/253295/page_201512291415
,ホームページ・ECサイトの企画・制作・運用、システム開発、プロモーション支援を提供する会社。キャンペーンサイトの制作を得意としており、SNSとの連携など複数の施策を組み合わせてプロモーションを支援する。,株式会社スカイリンク,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/sky-link,MEOハブ候補,https://sky-link.co.jp/work/
,ビジネス企画・開発・運営・グロースハック・営業まで全てを行うソリューション事業を展開。これまで300社以上の広告やWebなどの制作実績あり。自社でも不動産管理会社向けアプリ作成ツール「Rocket Home アプリ」や民泊サポートシステム「Travel Assist」の独自サービスを展開している。,株式会社SEAZOO,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/seazoo,MEOハブ候補,https://seazoo.co.jp/
,企業のIT化の支援を中心とする企業。NECなどのかkメーカーのソフトウェア販売からインフラ構築、ホームページの制作まで総合的にサービスを提供する。,株式会社常盤商会,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/siy,MEOハブ候補,http://www.siy.co.jp/
,,株式会社アースフィール,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/01kaisha,MEOハブ候補,http://www.01kaisha.com/
,ホームページ制作、システム開発、ＰＣ設置・設定サービス、ITコンサルティングなどを提供している。,クリエイティブオフィス　コトコト,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/cotoxcoto,MEOハブ候補,http://www.cotoxcoto.jp/web/performance.html
,企業PRを広く扱い、ブランディング、ホームページ制作、会社案内パンフレット、企業PR映像の制作などを提供している。,株式会社ブレーンセンター,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/braincenter,MEOハブ候補,https://www.braincenter.co.jp/works/index.html
,ITコンサルティング、ホームページ制作、システム開発、運用保守を提供している。映像制作や会社パンフレット制作にも対応できる他、海外向けのサイト、コンテンツ制作にも対応する。,株式会社コンシスト,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/consist,MEOハブ候補,https://www.consist.jp/service/web.html
,商品やサービスの情報を扱うだけの従来の情報発信型のホームページから、より戦略的なホームページ活用を提案する制作会社。デジタルマーケティングの観点からコンサルティング、企画・設計、ホームページ制作、サーバー環境の構築、運用支援までトータルで対応できる。製品やサービスに付随した技術文書の制作サービスも行っており、ドキュメントの公開方法に関するコンサルティングと翻訳含めたテクニカルライティングを提供する。,株式会社新東京計算,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/ntcom,MEOハブ候補,https://www.ntcom.co.jp/
,モバイルサイトの企画・運営、コミュニティサイト管理、ゲームソフトウエア開発、ホームページの分析・企画・提案 / 設計・制作 / 運営・保守・コンサルティング等を提供している。,株式会社メディア・マジック,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/mediamagic,MEOハブ候補,http://www.mediamagic.co.jp/
