company_name,url,address,phone,maps_url,status,source_url,business_description,hub_evidence,recurring_evidence
株式会社Ｔ‐ｔｈｒｅｅ,https://ttt3.jp/,大阪府大阪市生野区・経営コンサルティング・従業員64名 経営コンサルティング 大阪府大阪市生野区舎利寺１丁目６番１７号,,,MEOハブ候補,https://houjin.goo.to/corporations/4120001248473,株式会社Ｔ‐ｔｈｒｅｅ ティースリー 本社大阪府大阪市生野区・経営コンサルティング・従業員64名 経営コンサルティング 大阪府大阪市生野区舎利寺１丁目６番１７号 更新日：2025年12月15日 業界分類 業績 評判 求人・採用 株式会社Ｔ‐ｔｈｒｅｅはどんな会社 株式会社Ｔ‐ｔｈｒｅｅ（株式会社T3）は、大阪府大阪市を拠点に「Re:Marketing」を掲げ、新しい価値を創造する地方創生企業です。広告事業、Webサイト構築、マーケティング、コンサルティングなど多岐にわたる事業を展開しています。特に月額定額制のデザインし放題サービス「カーサポ」の運営や、高校生の地元就職を応援するメディア「コース愛媛版」の運営など、地域課題の解決に直結するユニークなサービスを提供している点が特徴です。グループ会社を含め、自動車販売から建設、ITまで幅広いドメインの知見を活かし、世の中の「困った」を解決する仕組みづくりに注力しています。 このページに掲載されている内容は、2025年12月15日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 株式会社Ｔ‐ｔｈｒｅｅの企業情報 法人番号 4120001248473 企業名（法人名） 株式会社Ｔ‐ｔｈｒｅｅ 読み方 ティースリー 業種・業界 業務内容 株式会社Ｔ‐ｔｈｒｅｅ（株式会社T3）は、大阪府大阪市を拠点に「Re:Marketing」を掲げ、新しい価値を創造する地方創生企業です。広告事業、Webサイト構築、マーケティング、コンサルティングなど多岐にわたる事業を展開しています。特に月額定額制のデザインし放題サービス「カーサポ」の運営や、高校生の地元就職を応援するメディア「コース愛媛版」の運営など、地域課題の解決に直結するユニークなサービスを提供している点が特徴です。グループ会社を含め、自動車販売から建設、ITまで幅広いドメインの知見を活かし、世の中の「困った」を解決する仕組みづくりに注力しています。 郵便番号 〒544-0022 本社住所 大阪府大阪市生野区舎利寺１丁目６番１７号 アクセス方法をGoogleMapで見る 証券コード 未上場 社長/代表取締役 非表示中 ホームページ https://ttt3***** 電話番号 06-6940***** FAX番号 06-6940***** 設立年 2022年 法人番号指定日 2022年08月31日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 最終登記更新日 2022年08月31日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 ※会社名・所在地・法人番号は 国税庁法人番号公表サイト ,サイト構築,支援 / コンサルティング
株式会社ＳＥＡＢＯＳＥ,https://seabose.com/index.html,東京都品川区東五反田５丁目２２番３７号オフィスサークルＮ五反田２Ｆ,,,MEOハブ候補,https://houjin.goo.to/corporations/2010701037899,"株式会社ＳＥＡＢＯＳＥ シーボーズ デザイン制作やシステム開発を手掛ける企業で、Web媒体を利用した多彩なサービスを展開。コストパフォーマンスに優れた制作実績で顧客のビジネス成長に寄与。 サービス業界（その他） 東京都品川区東五反田５丁目２２番３７号オフィスサークルＮ五反田２Ｆ 更新日：2025年12月11日 業界分類 業績 評判 求人・採用 株式会社ＳＥＡＢＯＳＥはどんな会社 株式会社ＳＥＡＢＯＳＥの特徴は、デザイン制作やシステム・プログラム開発を中心に、Web媒体を利用した幅広いサービスを展開している。特にWebサイト、アプリ、カジュアルゲームの企画・制作に強みがあり、顧客のビジネスの成長を支援する。フルスタックエンジニアによる効率的な開発や、明快な料金プランを提供し、少数精鋭のチームが要件変更にも柔軟に対応。制作実績には、学生向け求人サイトや請求書発行サービス、労務管理システムなど多岐にわたるプロジェクトが含まれ、高品質なデザインやシステム開発に定評がある。子会社のCI・VI設計や教育系コンサルティングなども手掛け、多面的なサービス展開を行っている。 業種は、デザイン制作, システム・プログラム開発, Webサイト制作。 このページに掲載されている内容は、2025年12月11日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 株式会社ＳＥＡＢＯＳＥの企業情報 法人番号 2010701037899 企業名（法人名） 株式会社ＳＥＡＢＯＳＥ 読み方 シーボーズ 業種・業界 業務内容 郵便番号 〒141-0022 本社住所 東京都品川区東五反田５丁目２２番３７号オフィスサークルＮ五反田２Ｆ アクセス方法をGoogleMapで見る 証券コード 未上場 社長/代表取締役 非表示中 ホームページ https://seab***** 電話番号 FAX番号 設立年 2019年 法人番号指定日 2019年07月11日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 最終登記更新日 2020年04月17日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 ※会社名・所在地・法人番号は 国税庁法人番号公表サイト の公表データです。電話番号・ホームページ・FAX番号は当サイトが独自に収集したもので、国税庁の公表項目ではありません。各項目の収集元・取得日は 電話番号 ・ ホームページ ・ FAX番号 の各ページでご確認いただけます。詳しくは データの出典について をご覧ください。 株式会社ＳＥＡＢＯＳＥのインボイス番号 インボイス番号 T2010701037899 適格請求書発行事業者",Webサイト制作 / WEBサイト制作 / サイト制作,管理 / 支援 / コンサルティング
株式会社ＩＤＥＡ　Ｋｙｏｔｏ,https://jiria.jp/,京都府京都市右京区西京極徳大寺団子田町２−３２,,,MEOハブ候補,https://houjin.goo.to/corporations/9130001052333,"株式会社ＩＤＥＡ Ｋｙｏｔｏ イデアキョウト 幅広いIT関連サービスを提供し、社会問題解決に貢献。PC修理・販売、webサイト作成、ソフトウェア開発、放課後等デイサービスなど多岐にわたるサービスを展開。 小売業界 京都府京都市右京区西京極徳大寺団子田町２−３２ 更新日：2026年08月18日 業界分類 業績 評判 求人・採用 株式会社ＩＤＥＡ Ｋｙｏｔｏはどんな会社 発達障害などの障害をお持ちの子どもが社会で自立していくための 支援を行っています。運動や独自のプログラムをしながら楽しい時 間を過ごし一人ひとりの成長と発達に向き合い支援を行います。株式会社ＩＤＥＡ Ｋｙｏｔｏの特徴は、社会問題の解決を目指す企業は、インターネットとITを活用した多様なサービスを提供しています。PC関連商品の修理・販売やPCスクールの運営により、顧客のITスキルの向上をサポート。さらに、webサイトやwebサービスの作成・運用を通じて、顧客のビジネスを後押ししています。アプリケーションやソフトウェアの開発・販売によって、業務の効率化を図るソリューションを提案。映像制作では、ブランディングやプロモーションに貢献し、幅広いニーズに応えています。また、放課後等デイサービスを運営し、子供たちの成長と発達を支援するなど、地域社会への貢献にも力を入れています。多角的なアプローチで顧客と地域をサポートする姿勢が特徴です。 業種は、インターネット, IT, 教育サービス, 映像制作。 このページに掲載されている内容は、2026年08月18日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 株式会社ＩＤＥＡ Ｋｙｏｔｏの企業情報 法人番号 9130001052333 企業名（法人名） 株式会社ＩＤＥＡ Ｋｙｏｔｏ 読み方 イデアキョウト 業種・業界 業務内容 発達障害などの障害をお持ちの子どもが社会で自立していくための 支援を行っています。運動や独自のプログラムをしながら楽しい時 間を過ごし一人ひとりの成長と発達に向き合い支援を行います。 郵便番号 〒615-0846 本社住所 京都府京都市右京区西京極徳大寺団子田町２−３２ アクセス方法をGoogleMapで見る 証券コード 未上場 社長/代表取締役 非表示中 ホームページ https://jiri***** 電話番号 FAX番号 設立年 2013年 法人番号指定日 2015年10月05日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 最終登記更新日 2016年06月03日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 ※会社名・所在地・法人番号は",ブランディング,運用 / 支援 / サポート
株式会社ＤＯＡ,https://www.doa-inc.jp/,"社長野県松本市・IT業界・資本金1,000万円・従業員25名 IT業界 長野県松本市大字島立７９９番地１",,,MEOハブ候補,https://houjin.goo.to/corporations/6100002020831,"株式会社ＤＯＡ ディーオーエー 本社長野県松本市・IT業界・資本金1,000万円・従業員25名 IT業界 長野県松本市大字島立７９９番地１ 更新日：2026年08月21日 業界分類 業績 評判 求人・採用 株式会社ＤＯＡはどんな会社 アプリケーション及びパッケージソフトの開発。 ネットワーク関連事業。 労働者派遣事業（特２０－０２０００７） 業種は、ソフトウェア開発, Web開発, ホームページ制作, ハードウェアコーディネート。株式会社ＤＯＡの資本金は、1000万円 です。 このページに掲載されている内容は、2026年08月21日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 株式会社ＤＯＡの企業情報 法人番号 6100002020831 企業名（法人名） 株式会社ＤＯＡ 読み方 ディーオーエー 業種・業界 業務内容 アプリケーション及びパッケージソフトの開発。 ネットワーク関連事業。 労働者派遣事業（特２０－０２０００７） 郵便番号 〒390-0852 本社住所 長野県松本市大字島立７９９番地１ アクセス方法をGoogleMapで見る 証券コード 未上場 社長/代表取締役 非表示中 ホームページ https://www.***** 電話番号 0263-47***** FAX番号 0263-47***** 設立年 1981年 法人番号指定日 2015年10月05日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 最終登記更新日 2025年08月01日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 ※会社名・所在地・法人番号は 国税庁法人番号公表サイト の公表データです。電話番号・ホームページ・FAX番号は当サイトが独自に収集したもので、国税庁の公表項目ではありません。各項目の収集元・取得日は 電話番号 ・ ホームページ ・ FAX番号 の各ページでご確認いただけます。詳しくは データの出典について をご覧ください。 株式会社ＤＯＡのインボイス番号 インボイス番号 T6100002020831 適格請求書発行事業者登録番号 T6100002020831 適格請求書発行事業者登録日 2023年10月01日 適格請求書発行事業者情報更新日 2025年09月19日 ※インボイス制度(適格請求書発行事業者)とは、消費税の仕入税額控除のために、売手と買手がインボイスという書類やデータを交換する制度です。 本社エリアの不動産相場 長野県松本市 2024年 詳細を見る → 用途 ㎡単価 中央値 前年比 中古マンション 328,571 円/㎡ +2.7% 宅地・土地 46,0",ホームページ制作,支援
有限会社キュームグラフィック,https://kyu-mu.co.jp/,社愛知県名古屋市中区・サービス業界（その他）・従業員14名 サービス業界（その他） 愛知県名古屋市中区大須３丁目２番１５号,,,MEOハブ候補,https://houjin.goo.to/corporations/8180002056635,"有限会社キュームグラフィック キュームグラフィック 本社愛知県名古屋市中区・サービス業界（その他）・従業員14名 サービス業界（その他） 愛知県名古屋市中区大須３丁目２番１５号 更新日：2026年03月03日 業界分類 業績 評判 求人・採用 有限会社キュームグラフィックはどんな会社 【グラフィック事業】ブランディングや広告に関するデザインの企 画製作【飲食事業】キュームカフェエアの運営【洋菓子製造事業】 タルト・クッキーなどの製造・販売（キュームタルト） 業種は、デザイン, 飲食。 このページに掲載されている内容は、2026年03月03日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 有限会社キュームグラフィックの企業情報 法人番号 8180002056635 企業名（法人名） 有限会社キュームグラフィック 読み方 キュームグラフィック 業種・業界 業務内容 【グラフィック事業】ブランディングや広告に関するデザインの企 画製作【飲食事業】キュームカフェエアの運営【洋菓子製造事業】 タルト・クッキーなどの製造・販売（キュームタルト） 郵便番号 〒460-0011 本社住所 愛知県名古屋市中区大須３丁目２番１５号 アクセス方法をGoogleMapで見る 証券コード 未上場 社長/代表取締役 非表示中 ホームページ https://www.k***** 電話番号 052-242***** FAX番号 052-242***** 設立年 2004年 法人番号指定日 2015年10月05日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 最終登記更新日 2015年10月05日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 ※会社名・所在地・法人番号は 国税庁法人番号公表サイト の公表データです。電話番号・ホームページ・FAX番号は当サイトが独自に収集したもので、国税庁の公表項目ではありません。各項目の収集元・取得日は 電話番号 ・ ホームページ ・ FAX番号 の各ページでご確認いただけます。詳しくは データの出典について をご覧ください。 有限会社キュームグラフィックのインボイス番号 インボイス番号 T8180002056635 適格請求書発行事業者登録番号 T8180002056635 適格請求書発行事業者登録日 2023年10月01日 適格請求書発行事業者情報更新日 2022年06月14日 ※インボイス制度(適格請求書発行事業者)とは、消費税の仕入税額控除のために、売手と買手がインボイスという書類やデータを交換する制度です。 本社エリアの不動産相場 愛知県中区 2",ブランディング,支援
株式会社ＬＯＴＵＳ,https://lotus-bs.jp/,,,,MEOハブ候補,https://houjin.goo.to/corporations/9011001119448,"株式会社ＬＯＴＵＳ ロータス インターネットを活用したソリューションを提供する企業で、広告代理事業やWEBコンサルティングを通じて、社会貢献を目指す。 コンサルティング・経営支援業界 東京都港区港南２丁目１５番１号品川インターシティＡ棟２８階 更新日：2026年06月18日 業界分類 業績 評判 求人・採用 株式会社ＬＯＴＵＳはどんな会社 株式会社ＬＯＴＵＳの特徴は、現代社会におけるインターネットの重要性を認識し、信頼とスピードをモットーに、企業や個人に向けた多様なソリューションを提供することを使命としている。クライアントとのパートナーシップを重視し、WEBビジネスの企画立案や運用管理など、幅広いサポートを行う。インターネットを通じて人々の生活を豊かにするため、洗練された戦略と革新的なアプローチを用いて、持続的な成長を目指す。社会への貢献とクライアントの成功を実現するために、日々努力を重ねている企業である。 業種は、WEBコンサルティング業, 広告代理店業。株式会社ＬＯＴＵＳの資本金は、900万円 です。 このページに掲載されている内容は、2026年06月18日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 株式会社ＬＯＴＵＳの企業情報 法人番号 9011001119448 企業名（法人名） 株式会社ＬＯＴＵＳ 読み方 ロータス 業種・業界 業務内容 郵便番号 〒108-0075 本社住所 東京都港区港南２丁目１５番１号品川インターシティＡ棟２８階 アクセス方法をGoogleMapで見る 証券コード 未上場 社長/代表取締役 非表示中 ホームページ https://lotu***** 電話番号 FAX番号 設立年 2017年 法人番号指定日 2017年11月29日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 最終登記更新日 2023年06月05日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 ※会社名・所在地・法人番号は 国税庁法人番号公表サイト の公表データです。電話番号・ホームページ・FAX番号は当サイトが独自に収集したもので、国税庁の公表項目ではありません。各項目の収集元・取得日は 電話番号 ・ ホームページ ・ FAX番号 の各ページでご確認いただけます。詳しくは データの出典について をご覧ください。 株式会社ＬＯＴＵＳのインボイス番号 インボイス番号 T9011001119448 適格請求書発行事業者登録番号 T9011001119448 適格請求書発行事業者登録日 2023年10月01日 適格請求書発行事業者情報更新日 2023年08月18日",広告代理店,運用 / 管理 / 支援 / コンサルティング / サポート
株式会社ＢＡＬＡＮＣｅ,https://balance.bz/,東京都渋谷区道玄坂１丁目１０番８号渋谷道玄坂東急ビル２Ｆ－Ｃ,,,MEOハブ候補,https://houjin.goo.to/corporations/1040001107822,"株式会社ＢＡＬＡＮＣｅ バランス Webサイト制作やシステム開発を主力とし、マーケティング支援で顧客の課題を解決する多様なサービスを提供。最新技術を駆使した独自コンテンツも展開。 IT業界 東京都渋谷区道玄坂１丁目１０番８号渋谷道玄坂東急ビル２Ｆ－Ｃ 更新日：2026年02月11日 業界分類 業績 評判 求人・採用 株式会社ＢＡＬＡＮＣｅはどんな会社 株式会社ＢＡＬＡＮＣｅの特徴は、多様なデジタルソリューションを提供し、Webサイト制作やシステム開発を通じて顧客のマーケティング課題を解決する企業。企画から開発・グロース支援までを一貫して行い、ブランディングやリード獲得に特化したWebサイトを制作。新規サービス開発や顧客管理機能など、システム開発にも対応。さらに、目を引くデザインのキャンペーンサイトやPRコンテンツの制作を行い、参加型のプロモーションを実現。クライアントの要望に応じたデジタル施策を柔軟に提案し、ブランド価値の向上と顧客のビジネス成長をサポートすることを重視している。 業種は、Webサイト制作, システム開発, キャンペーン・PRコンテンツ制作。 このページに掲載されている内容は、2026年02月11日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 株式会社ＢＡＬＡＮＣｅの企業情報 法人番号 1040001107822 企業名（法人名） 株式会社ＢＡＬＡＮＣｅ 読み方 バランス 業種・業界 業務内容 郵便番号 〒150-0043 本社住所 東京都渋谷区道玄坂１丁目１０番８号渋谷道玄坂東急ビル２Ｆ－Ｃ アクセス方法をGoogleMapで見る 証券コード 未上場 社長/代表取締役 非表示中 ホームページ https://bala***** 電話番号 FAX番号 設立年 2019年 法人番号指定日 2019年01月30日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 最終登記更新日 2025年01月21日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 ※会社名・所在地・法人番号は 国税庁法人番号公表サイト の公表データです。電話番号・ホームページ・FAX番号は当サイトが独自に収集したもので、国税庁の公表項目ではありません。各項目の収集元・取得日は 電話番号 ・ ホームページ ・ FAX番号 の各ページでご確認いただけます。詳しくは データの出典について をご覧ください。 株式会社ＢＡＬＡＮＣｅのインボイス番号 インボイス番号 T1040001107822 適格請求書発行事業者登録番号 T1040001107822 適格請求書発行事業者登録日 2023年",Webサイト制作 / WEBサイト制作 / サイト制作 / ブランディング,管理 / 支援 / サポート
株式会社ＮＥＸＡＳ,https://nexas.tokyo/,東京都千代田区飯田橋２丁目９番３号,,,MEOハブ候補,https://houjin.goo.to/corporations/2010003023565,"株式会社ＮＥＸＡＳ ネクサス 総合広告代理店として、首都圏の店舗向けに、革新を追求した広告業務や特化したウェブ制作を行い、ビジネスの成功を促進します。 広告業界 東京都千代田区飯田橋２丁目９番３号 更新日：2026年04月23日 業界分類 業績 評判 求人・採用 株式会社ＮＥＸＡＳはどんな会社 株式会社ＮＥＸＡＳの特徴は、この広告代理店は、首都圏を中心とした店舗向けに、流動する市場の傾向を把握し、「改革」をもたらすことを目指しています。従来の手法にとらわれず、企業ブランディングから集客代行までをトータルにサポートし、高品質な広告デザインやキャッチコピーを提供しています。また、ホームページやポータルサイトの制作・管理も手掛け、コストパフォーマンスを重視したサービスを展開。さらに、不動産に関してはお客様のニーズに合った物件を提案するなど、多岐にわたるサービスを通じて顧客のビジネス成功を全力でサポートしています。 業種は、広告代理業, ウェブ制作, 不動産業。株式会社ＮＥＸＡＳの資本金は、700万円 です。 このページに掲載されている内容は、2026年04月23日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 株式会社ＮＥＸＡＳの企業情報 法人番号 2010003023565 企業名（法人名） 株式会社ＮＥＸＡＳ 読み方 ネクサス 業種・業界 業務内容 郵便番号 〒102-0072 本社住所 東京都千代田区飯田橋２丁目９番３号 アクセス方法をGoogleMapで見る 証券コード 未上場 社長/代表取締役 非表示中 ホームページ https://nexa***** 電話番号 FAX番号 設立年 2016年 法人番号指定日 2016年05月24日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 最終登記更新日 2021年05月28日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 ※会社名・所在地・法人番号は 国税庁法人番号公表サイト の公表データです。電話番号・ホームページ・FAX番号は当サイトが独自に収集したもので、国税庁の公表項目ではありません。各項目の収集元・取得日は 電話番号 ・ ホームページ ・ FAX番号 の各ページでご確認いただけます。詳しくは データの出典について をご覧ください。 株式会社ＮＥＸＡＳのインボイス番号 インボイス番号 T2010003023565 適格請求書発行事業者登録番号 T2010003023565 適格請求書発行事業者登録日 2023年10月01日 適格請求書発行事業者情報更新日 2023年06月07日 ※インボイス制度(適格請求",ウェブ制作 / 広告代理店 / ブランディング,管理 / 代行 / 支援 / サポート
ウィズアプリシエイト株式会社,https://wiz-appreciate.com/,東京都中央区日本橋兜町１７番２号,,,MEOハブ候補,https://houjin.goo.to/corporations/2010001197642,"ウィズアプリシエイト株式会社 ウィズアプリシエイト 中小企業のデジタル化を支援する企業で、DX推進やITリテラシー教育を通じて業務の効率化と成長を支援しています。 サービス業界（その他） 東京都中央区日本橋兜町１７番２号 更新日：2025年11月19日 業界分類 業績 評判 求人・採用 ウィズアプリシエイト株式会社はどんな会社 ウィズアプリシエイト株式会社の特徴は、中小企業のデジタル化を強力にサポートする企業で、主なサービスにはDX推進、ITリテラシー教育、情シス支援、ECサイト構築支援が含まれます。DX推進ではデジタル技術を活用し、組織やプロセスの変革を図ります。ITリテラシー教育では、社員のIT知識を向上させ、業務の効率化とセキュリティ向上に寄与します。また、情シス支援では情報システム部門の業務を最適化し、企業がコア業務に集中できる環境を整えます。ECサイト構築支援では、ネットビジネスの成功に向けた制作・運営方法を指南し、新たなビジネス機会の創出を促進します。お客様との信頼関係とアナログ的な人間関係を重視し、IT化を進めています。 業種は、ITサービス, デジタル化支援。 このページに掲載されている内容は、2025年11月19日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 ウィズアプリシエイト株式会社の企業情報 法人番号 2010001197642 企業名（法人名） ウィズアプリシエイト株式会社 読み方 ウィズアプリシエイト 業種・業界 業務内容 郵便番号 〒103-0026 本社住所 東京都中央区日本橋兜町１７番２号 アクセス方法をGoogleMapで見る 証券コード 未上場 社長/代表取締役 非表示中 ホームページ https://wiz-***** 電話番号 FAX番号 設立年 2019年 法人番号指定日 2019年01月15日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 最終登記更新日 2021年12月07日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 ※会社名・所在地・法人番号は 国税庁法人番号公表サイト の公表データです。電話番号・ホームページ・FAX番号は当サイトが独自に収集したもので、国税庁の公表項目ではありません。各項目の収集元・取得日は 電話番号 ・ ホームページ ・ FAX番号 の各ページでご確認いただけます。詳しくは データの出典について をご覧ください。 ウィズアプリシエイト株式会社のインボイス番号 インボイス番号 T2010001197642 適格請求書発行事業者登録番号 T2010001197642 適格請求書発行事業",サイト構築 / ECサイト構築,支援 / サポート
株式会社ミライプラス,https://www.mirai-plus.jp/,東京都中央区銀座１丁目２２番１１号銀座大竹ビジデンス２階,,,MEOハブ候補,https://houjin.goo.to/corporations/2010001215024,"株式会社ミライプラス ミライプラス 人と地球にやさしい商品を取り扱い、健康食品や無添加調味料の企画・販売を行う企業であり、各種イベントやマルシェも定期的に開催している。 小売業界 東京都中央区銀座１丁目２２番１１号銀座大竹ビジデンス２階 更新日：2025年12月11日 業界分類 業績 評判 求人・採用 株式会社ミライプラスはどんな会社 株式会社ミライプラスの特徴は、環境に配慮した商品を取り扱い、自然食品や健康食品、無添加調味料の企画・開発・製造・販売を行う企業である。また、ネットショップやホームページ制作を通じてオンライン販売のサポートも行う。月に一度の屋内体験型マルシェや各種イベントを開催し、地域コミュニティとのつながりを深めることを重視している。商品ラインナップにはアマニ油ゼリーやヒマラヤ岩塩などがあり、参加者を募るなど、多様な取り組みを進めている。企業は地球環境への貢献をモットーに、健康で豊かな生活を促進することを目指し、今後も新たな挑戦を続けていく。 業種は、自然食品, 健康食品, 物販, ホームページ制作, ネット販売サポート。 このページに掲載されている内容は、2025年12月11日に更新された情報です。 全国法人検索は現在α版です。掲載されているデータについて一切の保証をしておりませんので、予めご了承の上ご利用ください🙇 株式会社ミライプラスの企業情報 法人番号 2010001215024 企業名（法人名） 株式会社ミライプラス 読み方 ミライプラス 業種・業界 業務内容 郵便番号 〒104-0061 本社住所 東京都中央区銀座１丁目２２番１１号銀座大竹ビジデンス２階 アクセス方法をGoogleMapで見る 証券コード 未上場 社長/代表取締役 非表示中 ホームページ https://www.***** 電話番号 FAX番号 設立年 2021年 法人番号指定日 2021年01月13日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 最終登記更新日 2021年01月13日 ※2015年10月5日より前に設立された場合、一律で 2015年10月05日 に指定されています。 ※会社名・所在地・法人番号は 国税庁法人番号公表サイト の公表データです。電話番号・ホームページ・FAX番号は当サイトが独自に収集したもので、国税庁の公表項目ではありません。各項目の収集元・取得日は 電話番号 ・ ホームページ ・ FAX番号 の各ページでご確認いただけます。詳しくは データの出典について をご覧ください。 株式会社ミライプラスのインボイス番号 インボイス番号 T2010001215024 適格請求書発行事業者登録番号 T2010001215024 適格請求書発行事業者登録日 2023年10月01日 適格請求書発",ホームページ制作,支援 / サポート
