sample_order,final_decision,final_reason
1,採用確定,医療業界向けWeb制作と集患支援を提供
2,採用確定,医療機関向けWeb制作と集患マーケティングを提供
3,採用確定,クリニック特化Web制作と広告運用を提供
4,採用確定,歯科向けWeb制作と継続支援を提供
5,採用確定,美容室の開業・販促・Web制作を一体支援
6,採用確定,美容室の開業後集客まで継続支援
7,採用確定,美容サロン向け集客コンサルティングを提供
8,採用確定,業界特化の受託Web支援を提供
9,採用確定,業界特化の受託Web支援を提供
10,採用確定,業界特化の受託Web支援を提供
11,採用確定,飲食店の開業・集客を受託支援
12,採用確定,飲食店向けWeb・集客支援を提供
13,採用確定,飲食店向けWeb制作と売上改善支援を提供
14,除外確定,宿泊施設の運営主体であり外部集客支援会社ではない
15,採用確定,宿泊事業者向けの受託支援を提供
16,採用確定,MEOを含む店舗集客支援を提供
17,採用確定,宿泊事業者向けの受託支援を提供
18,除外確定,宿泊運営代行が中心でマーケティング提携ハブではない
19,除外確定,宿泊施設の運営主体であり外部集客支援会社ではない
20,除外確定,宿泊管理SaaSが中心でGBP外注の接点が弱い
21,採用確定,宿泊業向けWeb・集客支援を提供
22,除外確定,業務システム導入支援が中心で店舗集客との接点が弱い
23,除外確定,建設情報データサービスが中心で店舗集客との接点がない
24,採用確定,店舗事業者向けのWeb・集客支援を提供
25,採用確定,店舗事業者向けのWeb・集客支援を提供
26,除外確定,ペット関連の事業主体で外部集客支援の根拠がない
27,採用確定,店舗事業者向けの受託支援を提供
28,採用確定,医療事業者向けの受託支援を提供
29,除外確定,設計事務所で集客支援の提供根拠がない
30,採用確定,店舗事業者向けのWeb・集客支援を提供
31,採用確定,店舗事業者向けの受託支援を提供
32,採用確定,企業向けWeb・マーケティング支援を提供
33,除外確定,婚礼施設の運営主体で外部集客支援会社ではない
34,除外確定,葬祭業向けシステム提供が中心でGBP外注の接点が弱い
35,採用確定,ブランディングと販促の受託支援を提供
36,除外確定,免税システム提供が中心でGBP外注の接点が弱い
37,除外確定,POS・業務システム支援が中心で集客受託の根拠が弱い
38,除外確定,POS・業務システム提供が中心で集客受託の根拠が弱い
39,除外確定,機器製造・システム提供が中心で集客受託の根拠が弱い
40,採用確定,美容室の開業・経営・集客支援を提供
41,除外確定,店舗チェーン運営が中心で外部集客支援会社ではない
42,採用確定,地域企業向け広告・Web・販促支援を提供
43,除外確定,大手地域放送局で個人事業主との提携対象として不適合
44,除外確定,放送事業者であり継続的な外部集客支援会社ではない
45,採用確定,地域企業向け求人広告・販促支援を提供
46,採用確定,地域企業向け広告クリエイティブ支援を提供
47,採用確定,印刷に加えて企業向け販促支援を提供
48,除外確定,不動産仲介が中心で外部集客支援会社ではない
49,除外確定,不動産仲介が中心で外部集客支援会社ではない
50,採用確定,印刷・デザイン・販促支援を提供
51,採用確定,地域企業向け印刷・販促支援を提供
52,採用確定,地域企業向け印刷・販促支援を提供
53,除外確定,印刷受託はあるが継続的な集客支援の根拠がない
54,除外確定,カード製造販売が中心で集客支援との接点が弱い
55,採用確定,印刷・企画・ブランディング支援を提供
56,除外確定,展示会施工が中心で地域店舗の継続集客支援ではない
57,除外確定,空間設計施工が中心で集客受託の根拠が弱い
58,除外確定,店舗設備提供が中心で集客受託の根拠が弱い
59,除外確定,店舗設備・システム提供が中心で集客受託の根拠が弱い
60,除外確定,店舗設備提供が中心で集客受託の根拠が弱い
61,除外確定,印刷・医療システム支援はあるが地域集客ハブの根拠がない
62,除外確定,展示会施工が中心で地域店舗の継続集客支援ではない
63,除外確定,看板施工中心かつ実在するWebフォームを確認できない
64,除外確定,空間・サイン制作中心で継続集客支援の根拠が弱い
65,除外確定,展示・空間施工中心で継続集客支援の根拠が弱い
66,除外確定,不動産事業者で外部集客支援会社ではない
67,除外確定,看板・内装施工中心で継続集客支援の根拠が弱い
68,除外確定,展示・店舗施工中心で継続集客支援の根拠が弱い
69,採用確定,地域企業向け広告・印刷・ブランディング支援を提供
70,除外確定,看板・サイン施工中心で継続集客支援の根拠が弱い
71,除外確定,受託集客支援の提供根拠がない
72,除外確定,不動産事業者で外部集客支援会社ではない
73,除外確定,店舗内装施工中心で継続集客支援の根拠が弱い
74,除外確定,展示・空間施工中心で継続集客支援の根拠が弱い
75,除外確定,不動産活用事業が中心で外部集客支援会社ではない
76,除外確定,不動産事業者で外部集客支援会社ではない
77,除外確定,浴室設備・施工事業で外部集客支援会社ではない
78,除外確定,不動産事業者で外部集客支援会社ではない
79,除外確定,不動産事業者で外部集客支援会社ではない
80,除外確定,店舗什器・設備供給が中心で集客受託の根拠が弱い
81,除外確定,建設・不動産事業者で外部集客支援会社ではない
82,除外確定,不動産事業者で外部集客支援会社ではない
83,採用確定,地域企業向け印刷・Web・販促支援を提供
84,除外確定,受託支援はあるが地域事業者ハブの根拠が弱い
85,採用確定,地域企業向け印刷・Web支援を提供
86,採用確定,地域企業向け印刷・Web・販促支援を提供
87,採用確定,地域企業向け印刷・Web支援を提供
88,除外確定,不動産事業者で外部集客支援会社ではない
89,採用確定,地域企業向け印刷・販促・ポスティング支援を提供
90,採用確定,治療院向けWeb・集客支援を提供
91,採用確定,美容室向けWeb・集客支援を提供
92,採用確定,地域企業向け広告・販促・Web支援を提供
93,採用確定,ブライダル事業者向けWeb・集客支援を提供
94,採用確定,地域企業向けWeb制作・運用・SEO支援を提供
95,採用確定,美容サロン向けWeb・Googleマップ対策を提供
96,採用確定,地域企業向けWeb・SNS・マーケティング支援を提供
97,除外確定,Web支援はあるが実在する問い合わせフォームを確認できない
98,採用確定,地域企業向け印刷・Web・販促支援を提供
99,採用確定,店舗・医院向け広告・販促支援を提供
100,除外確定,看板製作中心で継続的な集客支援の根拠が弱い
