company_name,url,address,phone,maps_url,status,source_url,business_description,hub_evidence,recurring_evidence
住友不動産シスコン株式会社,https://www.sumitomo-syscon.com/,1600023 東京都新宿区西新宿２丁目６番１号,,,MEOハブ候補,https://db.grip.website/detail/6011101010740,・インテリア販売 家具、照明器具、カーテン、ブラインド等のインテリア商品及びエクステリア商品の販売 ・企画、設計、デザイン 企画、建築設計、インテリアデザイン、インテリアコーディネート ・駐車場事業 等 所在地: 東京都港区 所在地: 東京都港区 所在地: 東京都港区 所在地: 東京都足立区 所在地: 東京都台東区,,
スピックバンスター株式会社,https://wp.spik-group.co.jp/,1120014 東京都文京区関口１丁目４７番１２号,,,MEOハブ候補,https://db.grip.website/detail/6010001004027,当社は総合印刷業、洋紙の専門商社の機能を持っています。また、不動産賃貸管理も行っています。 企画・デザインから洋紙の選択、印刷・製本・納品までを一貫して扱うワンストップサービスを展開しています。 所在地: 東京都 所在地: 東京都 所在地: 東京都八王子市 所在地: 東京都 所在地: 東京都千代田区,,
株式会社レモン画翠,https://lemongasui.co.jp/,1010062 東京都千代田区神田駿河台２丁目６番地１２,,,MEOハブ候補,https://db.grip.website/detail/1010001032387,洋画材料・版画材料・額縁・ポスター・版画・絵画の販売額装、絵画修復美術館・博物館の展示システム設計デザイン材料・設計製図用品・建築模型材料・製図機械・洋紙・和紙・オフィスファニチャーの販売インターネット通信販売アスクル通信販売業務プレゼンテーション出力サービス大型コピー・カラーコピー・大型カラー出力サービスOA／PC用品販売Macintosh・Windows／ハード・ソフト販売美術科・家庭科・書道科・工芸科・技術科・建築科教材イタリアンレストラン「トラットリアレモン」 所在地: 東京都北区 所在地: 東京都千代田区 所在地: 東京都千代田区 所在地: 東京都文京区 所在地: 東京都中央区,,
あなぶきメディカルケア株式会社,https://www.anabuki-medical.jp/,7600026 香川県高松市磨屋町２番地８,,,MEOハブ候補,https://db.grip.website/detail/5470001007109,介護関連事業（介護事業、有料老人ホーム等の運営） 不動産管理業 広告事業他 所在地: 香川県坂出市 所在地: 香川県坂出市 所在地: 香川県坂出市 所在地: 香川県高松市 所在地: 香川県高松市,,
株式会社北鉄航空,https://www.hokutetsukoku.jp/,9200062 石川県金沢市割出町５５９番地１,,,MEOハブ候補,https://db.grip.website/detail/6220001006076,小松空港での旅客・ハンドリング業務、バスや電車の交通広告の取り扱い、各種保険の案内を行っています。 所在地: 石川県金沢市 所在地: 石川県金沢市 所在地: 石川県金沢市 所在地: 石川県金沢市 所在地: 石川県野々市市,,
上信電鉄株式会社,https://www.joshin-dentetsu.co.jp/corporate/profile/,3700848 群馬県高崎市鶴見町５１番地,0273238066,,MEOハブ候補,https://db.grip.website/detail/5070001007099,鉄道事業 貨物自動車運送事業 不動産業 広告宣伝業 所在地: 群馬県太田市 所在地: 群馬県伊勢崎市 所在地: 群馬県高崎市 所在地: 群馬県高崎市 所在地: 群馬県沼田市,,
博多バスターミナル株式会社,https://www.h-bt.jp/,8120012 福岡県福岡市博多区博多駅中央街２番１号,,,MEOハブ候補,https://db.grip.website/detail/8290001016050,■バスターミナル業 ■貸室業 ■広告宣伝業 ■博多バスターミナル内直営事業 ・2階　コンビニ（フランチャイズ契約） ・9階　貸会議室 所在地: 福岡県福岡市中央区 所在地: 福岡県福岡市中央区 所在地: 福岡県北九州市小倉南区 所在地: 福岡県福岡市東区 所在地: 福岡県,,
筑豊電気鉄道株式会社,http://www.chikutetsu.co.jp/,8090022 福岡県中間市鍋山町１番６号,,,MEOハブ候補,https://db.grip.website/detail/9290801011398,鉄道事業 広告 貸店舗 月極駐車場 所在地: 福岡県福岡市中央区 所在地: 福岡県北九州市戸畑区 所在地: 福岡県北九州市小倉北区 所在地: 福岡県福岡市中央区 所在地: 福岡県福岡市中央区,,
株式会社岐阜折込センター,https://www.gifu-orikomi.co.jp/,5008384 岐阜県岐阜市薮田南４丁目１６番３号,,,MEOハブ候補,https://db.grip.website/detail/8200001001201,新聞広告折込 所在地: 岐阜県大垣市 所在地: 岐阜県各務原市 所在地: 岐阜県大垣市 所在地: 岐阜県本巣市 所在地: 岐阜県岐阜市,,
アイマーケ株式会社,https://www.imarketing.jp/company/,6060005 京都府京都市左京区岩倉南池田町７３番地メロディーハイム宝ヶ池公園５０３号,,,MEOハブ候補,https://db.grip.website/detail/4130001026820,技術を生み出し育てる技術者、商品の使用者、そして社会の人々が灯す温もりを大切にし、温かい社会を作るため、技術マーケティングを進めます。 所在地: 京都府京都市下京区 所在地: 京都府向日市 所在地: 京都府京都市中京区 所在地: 京都府京都市中京区 所在地: 京都府宇治市,,
株式会社ヤスキグループ,https://yasuki-group.co.jp/,8000231 福岡県北九州市小倉南区大字朽網３９１４－４９,,,MEOハブ候補,https://db.grip.website/detail/5290801007433,インターネット、携帯情報端末機を活用した広告及び通信販売業務 飲食店業 卸業・小売業 所在地: 福岡県糟屋郡志免町 所在地: 福岡県福岡市中央区 所在地: 福岡県福岡市中央区 所在地: 福岡県福岡市博多区 所在地: 福岡県福岡市中央区,,
株式会社ライバー,https://livestreamers.co.jp/,1060031 東京都港区西麻布２丁目１３番１２号,,,MEOハブ候補,https://db.grip.website/detail/1010001167019,広告事業、プラットフォーム事業 所在地: 東京都港区 所在地: 東京都江東区 所在地: 東京都 所在地: 東京都 所在地: 東京都台東区,,
新潟消火栓標識株式会社,https://www.nsyoukasen.com/,9500963 新潟県新潟市中央区南出来島２丁目６番３３号,025-283-0580,,MEOハブ候補,https://db.grip.website/detail/1110001031073,消火栓標識広告の設置 所在地: 新潟県新潟市中央区 所在地: 新潟県新潟市東区 所在地: 新潟県新潟市中央区 所在地: 新潟県新潟市中央区 所在地: 新潟県加茂市,,
株式会社ＮＫＢ　Ｙ’ｓ,http://www.nkb-ys.co.jp/company/,2200012 神奈川県横浜市西区みなとみらい２丁目３番５号,045-201-4021,,MEOハブ候補,https://db.grip.website/detail/7020001032133,交通広告 所在地: 神奈川県横浜市中区 所在地: 神奈川県平塚市 所在地: 神奈川県鎌倉市 所在地: 神奈川県横浜市西区 所在地: 神奈川県小田原市,,
株式会社グローアップ,https://www.growup.co.jp/company/,5410048 大阪府大阪市中央区瓦町４丁目４番８号,06-6229-2525,,MEOハブ候補,https://db.grip.website/detail/3120001078673,交通広告に特化した専門サイトを運営し、大阪メトロの駅や電車内広告、全国での交通広告実績を持つ。 所在地: 大阪府大阪市浪速区 所在地: 大阪府大阪市北区 所在地: 大阪府大阪市北区 所在地: 大阪府東大阪市 所在地: 大阪府大阪市中央区,,
