address,business_description,company_name,decision,maps_url,phone,reason,source_url,status,url
2510042 神奈川県藤沢市辻堂新町１丁目１番２号クロスポイント湘南５Ｆ,ITソリューション事業 営業代行事業 イベント企画、運営 教育事業 コンサルタント事業 ソフトウェア/システム開発 受託事業 所在地: 神奈川県横浜市西区 所在地: 神奈川県横浜市神奈川区 所在地: 神奈川県横浜市西区 所在地: 神奈川県川崎市幸区 所在地: 神奈川県川崎市高津区,合同会社ＰＬＵＳ　ＵＬＴＲＡ,keep,,代表者名 川合 慎也,,https://db.grip.website/detail/1021003012954,MEOハブ候補,https://plus-ultra.tech/
2430016 神奈川県厚木市田村町２番２０号三橋ビルアネックス３階,営業代行サービス 販売促進業務の受託 CATVの加入促進及び営業の受託 各種事務(受付/秘書/通訳/電話交換/文書作成等)の受託業務 LED照明販売・施工 所在地: 神奈川県相模原市中央区 所在地: 神奈川県横浜市緑区 所在地: 神奈川県横浜市西区 所在地: 神奈川県横浜市港南区 所在地: 神奈川県座間市,アイディル株式会社,keep,,代表者名 代表取締役／田代 剛章,,https://db.grip.website/detail/8020001113353,MEOハブ候補,https://www.aidyl.co.jp/
1120012 東京都,営業代行業務全般 企業の営業組織再編および活性化に関するコンサルティング 企業の営業人材育成に関する教育および研修プログラムの実施ならびに提供 所在地: 東京都千代田区 所在地: 東京都中野区 所在地: 東京都大田区 所在地: 東京都港区 所在地: 東京都,株式会社プルーセル,keep,,-,,https://db.grip.website/detail/8010001215381,MEOハブ候補,https://proosel.co.jp/
1710022 東京都,コールセンター事業 営業代行 アライアンス事業 派遣業 所在地: 東京都文京区 所在地: 東京都港区 所在地: 東京都中野区 所在地: 東京都千代田区 所在地: 東京都港区,株式会社ＨＮ　ｃｏｍｍｕｎｉｃａｔｉｏｎｓ,keep,,代表者名 代表取締役 中川 晴彦,,https://db.grip.website/detail/4011201019543,MEOハブ候補,https://www.hncom1129x.com/
1030023 東京都,システムエンジニアリング事業 メディア事業（フリーランス集客サービス「Liberteer」の運営） 営業支援、営業代行サービス 所在地: 東京都立川市 所在地: 東京都国分寺市 所在地: 東京都千代田区 所在地: 東京都港区 所在地: 東京都大田区,株式会社リバティア,keep,,代表者名 代表取締役 西川 慶,,https://db.grip.website/detail/1010001219819,MEOハブ候補,https://liberteer.tech/
1010051 東京都千代田区神田神保町２丁目１４番地,エンジニアリング支援 採用支援 営業支援 その他インターネットインフラ事業 所在地: 東京都中央区 所在地: 東京都中央区 所在地: 東京都千代田区 所在地: 東京都 所在地: 東京都港区,株式会社センスメイキング,keep,,代表者名 花井 裕正,,https://db.grip.website/detail/3010001213588,MEOハブ候補,https://sensemaking.jp/
5300015 大阪府大阪市北区中崎西２丁目１番１号,(1)営業アウトソーシング事業 (2)営業戦略構築、テレアポ、飛び込み営業 (3)訪問営業、インサイドセールス、フォローセールス (4)営業戦略コンサルティング事業 (5)営業人材研修、営業戦略の構築・分析 (6)芸能プロダクション事業 所在地: 大阪府大阪市中央区 所在地: 大阪府高槻市 所在地: 大阪府大阪市中央区 所在地: 大阪府大阪市中央区 所在地: 大阪府大阪市中央区,株式会社パスゲート,keep,,代表者名 代表取締役 梅原詩騎,,https://db.grip.website/detail/4120001222156,MEOハブ候補,https://pass-gate.co.jp/company/
1600023 東京都新宿区西新宿６丁目５番１号,◆営業支援事業 ◆営業人材育成事業 ◆営業用ツールの企画・開発・提供 所在地: 東京都中野区 所在地: 東京都千代田区 所在地: 東京都渋谷区 所在地: 東京都渋谷区 所在地: 東京都品川区,エンＳＸ株式会社,keep,,-,,https://db.grip.website/detail/8011101106792,MEOハブ候補,https://sales.en-sx.com/
3280024 栃木県栃木市樋ノ口町４３番地５,テレビ番組の企画・制作・放送 ケーブルテレビグループサービスの営業活動 コールセンター 技術サポート お客様宅内工事 所在地: 栃木県小山市 所在地: 栃木県宇都宮市 所在地: 栃木県小山市 所在地: 栃木県宇都宮市 所在地: 栃木県佐野市,株式会社コネクトユー,keep,,代表者名 代表取締役社長 高田 光浩,,https://db.grip.website/detail/7060001035421,MEOハブ候補,https://www.connect-you.jp/
1030004 東京都,人材派遣事業 営業代行事業 採用代行事業 労働者派遣許可番号 派13-318025 有料職業紹介許可番号 13-ユ-318214 所在地: 東京都中野区 所在地: 東京都新宿区 所在地: 東京都港区 所在地: 東京都千代田区 所在地: 東京都渋谷区,マジメワークス株式会社,keep,,代表者名 部田光一,,https://db.grip.website/detail/5010001252295,MEOハブ候補,https://majimeworks.co.jp/
4600002 愛知県名古屋市中区丸の内３丁目１８番１号,営業支援・人材ソリューション・組織コンサルティング事業。 所在地: 愛知県名古屋市瑞穂区 所在地: 愛知県名古屋市中区 所在地: 愛知県名古屋市中区 所在地: 愛知県名古屋市中区 所在地: 愛知県名古屋市昭和区,株式会社マニフェスト,keep,,052-253-8977,,https://db.grip.website/detail/4180001072901,MEOハブ候補,http://manifest.co.jp/company/
