address,business_description,company_name,decision,maps_url,phone,reason,source_url,status,url
,株式会社野村総合研究所（NRI）は、日本初の民間シンクタンクとシステムインテグレーターが合併して誕生した、国内最大手の総合コンサルティング・ITソリューション企業です。 主に以下の4つの事業を展開しています。 1.	コンサルティング：シンクタンクとしての知見を活かした政策提言や、企業の経営・事業戦略立案、DX推進などを支援します。 2.	金融ITソリューション：証券、保険、銀行などの金融機関向けに、基幹システムや共同利用型プラットフォームを提供しています。 3.	産業ITソリューション：流通、製造、サービス分野の企業向けに、システム構築や業務改革を支援しています。 4.	IT基盤サービス：システムの運用・管理や、データセンターサービス、セキュリティ関連のソリューションを提供します。 「コンサルティング」から「システムの設計・構築・運用」までをシームレスに提供する「コンソリューション」を強みとし、社会課題の解決や企業の新たな価値創出をトータルでサポートしています。 所在地: 東京都千代田区 所在地: 東京都 所在地: 東京都杉並区 所在地: 東京都 所在地: 東京都渋谷区,株式会社野村総合研究所,drop,,,weak_provider_evidence,https://db.grip.website/detail/4010001054032,,https://www.nri.com/jp/
,,三菱ＵＦＪ信託銀行株式会社,drop,,,non_provider_company_type,https://db.grip.website/detail/6010001008770,,https://www.tr.mufg.jp
,株式会社リンクアンドモチベーションは、2000年4月7日に設立し、東京都中央区銀座の歌舞伎座タワーに本社を置く組織変革コンサルティング企業。東京証券取引所プライム市場に上場（証券コード：2170）。モチベーションエンジニアリングを独自コンセプトに、組織のエンゲージメント向上を支援するクラウドサービスや変革コンサルティングを展開する。モチベーションマネジメント事業・エントリーマネジメント事業・ベンチャーインキュベーション事業を柱とし、人的資本経営の支援に特化した幅広いサービスを提供する。2025年12月期の売上高は約415億円。 所在地: 東京都渋谷区 所在地: 東京都国分寺市 所在地: 東京都千代田区 所在地: 東京都港区 所在地: 東京都渋谷区渋谷２丁目１５番１号,株式会社リンクアンドモチベーション,drop,,,weak_provider_evidence,https://db.grip.website/detail/5010001068254,,http://www.lmi.ne.jp
,日本通運株式会社は、1872年（明治5年）の創業以来、日本の物流を牽引してきた国内最大手クラスの総合物流事業者です。現在は持株会社「NIPPON EXPRESSホールディングス」の中核事業会社として、「NX」ブランドのもとグローバルに事業を展開しています。 主に以下の幅広い物流ソリューションを提供しています。 1. 国内・国際輸送事業 • 国内輸送：トラック、鉄道、国内航空、内航海運など、陸・海・空のあらゆる輸送モードを最適に組み合わせたネットワークを提供しています。 • 国際輸送：世界各地の拠点を結ぶグローバルネットワークを活かし、国際航空貨物・海上貨物輸送（フォワーディング）において世界トップクラスのシェアを誇ります。 2. ロジスティクス・ソリューション事業 国内最大規模の倉庫網を保有し、単なる保管・配送にとどまらず、企業のサプライチェーン全体を最適化する「3PL（サードパーティ・ロジスティクス）」や、EC物流、ITを活用した高度な物流コンサルティングなどを提供しています。 3. 専門輸送・特殊輸送事業 • 引越し・移転：個人・法人向けの国内引越しや海外赴任に伴うワンストップの引越しサービス。 • 美術品輸送：国宝などの貴重な文化財や美術品を安全に運ぶ専門サービス。 • セキュリティ・静脈物流：現金等の厳重なセキュリティ輸送や、産業廃棄物の収集運搬（静脈物流）、環境負荷を低減するグリーンロジスティクスの推進。 「社会発展の原動力であること」を使命に掲げ、最新技術と長年のノウハウを融合させ、サステナブルなロジスティクスを通じて社会に新たな価値を創出しているグローバル企業です。 所在地: 東京都立川市 所在地: 東京都 所在地: 東京都中央区 所在地: 東京都 所在地: 東京都千代田区,日本通運株式会社,drop,,,weak_provider_evidence,https://db.grip.website/detail/4010401022860,,https://www.nittsu.co.jp/corporate/
,石油、石油化学、ガス、一般化学、非鉄金属、金属加工、電子材料、資源リサイクル、電力、原子力、再生可能エネルギー、分散型エネルギー、製鉄、石炭、造水、飼料、生化学、食品、医薬品、医療品、医療、情報、通信、運輸・輸送、流通、備蓄、空気調整・給排水、公害防止、災害防止、環境保全等の機器、装置、設備、施設、資機材、学術研究、システムおよびプロセスに関する下記の事業 1.総合的エンジニアリング業務およびコンサルティング業務 2.装置、機器の製造、調達、販売、修理および賃貸 3.装置、機器の設置、土木建築、電気計装、配管等の工事の設計、監理および施工 4.設備、装置の保全業務 5.研究、開発、技術支援および受託 所在地: 神奈川県平塚市 所在地: 神奈川県横浜市神奈川区 所在地: 神奈川県横浜市中区 所在地: 神奈川県横浜市青葉区 所在地: 神奈川県横浜市中区,レイズネクスト株式会社,drop,,,weak_provider_evidence,https://db.grip.website/detail/3020001017402,,https://www.raiznext.co.jp/
,,гӮЁгӮҜгӮ·гӮӘгӮ°гғ«гғјгғ—ж ӘејҸдјҡзӨҫпјҲ3011001031955пјүгҒ®дјҒжҘӯжғ…е ұпҪңжі•дәәз•ӘеҸ·жӨңзҙў grip space DB,drop,,,required_missing,https://db.grip.website/detail/3011001031955,,
,通信機器、電子機器ならびに省エネ機器等の販売および システムコンサルティングサービス、システム設計・開発、 ハード・ソフトウエアメンテナンスサービス 、省エネを中心とした設備工事 所在地: 東京都港区 所在地: 東京都杉並区 所在地: 東京都 所在地: 東京都品川区 所在地: 東京都中央区,扶桑電通株式会社,drop,,,weak_provider_evidence,https://db.grip.website/detail/6010001055706,,http://www.fusodentsu.co.jp/
,新規事業コンサルティング事業 海外進出コンサルティング事業 戦略コンサルティング事業 業務改革コンサルティング事業 ITコンサルティング事業 所在地: 東京都千代田区 所在地: 東京都渋谷区 所在地: 東京都 所在地: 東京都 所在地: 東京都中央区,株式会社ライズ・コンサルティング・グループ,drop,,,weak_provider_evidence,https://db.grip.website/detail/5010401156815,,http://www.rise-cg.co.jp/
,調剤薬局事業、医療インフラの提供、医療人材の支援、開業サポート、地域医療連携などのサービスを提供し、ヘルスケア業界を共に創っていく。 所在地: 福岡県福岡市博多区 所在地: 福岡県大野城市 所在地: 福岡県福岡市東区 所在地: 福岡県福岡市中央区 所在地: 福岡県北九州市八幡西区,総合メディカル株式会社,drop,,,weak_provider_evidence,https://db.grip.website/detail/7290001008379,,https://www.sogo-medical.co.jp/
5320011 大阪府大阪市淀川区西中島３丁目８番１５号,1店舗、設備、製品のユニバーサルデザイン化に伴う企画、設計 2バリアフリーマップの企画、デザイン制作及び販売 3ユニバーサルデザインに関する各種情報の収集及び提供 4企業、行政、教育機関における教育及び研修 所在地: 大阪府大阪市中央区 所在地: 大阪府大阪市北区 所在地: 大阪府 所在地: 大阪府高槻市 所在地: 大阪府大阪市北区,株式会社ミライロ,keep,,050-1790-6837,,https://db.grip.website/detail/4120001144623,MEOハブ候補,https://www.mirairo.co.jp/company/history
