company_name,url,address,phone,maps_url,status,source_url,business_description,hub_evidence,recurring_evidence,store_evidence
アイピーコンフィグ株式会社,https://ipconfig.co.jp/,〒036-0356 青森県黒石市ちとせ2丁目76,0172-53-9031,,MEOハブ候補,https://yuryoweb.com/company_info/%e3%82%a2%e3%82%a4%e3%83%94%e3%83%bc%e3%82%b3%e3%83%b3%e3%83%95%e3%82%a3%e3%82%b0%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,■Web事業（WebStudi FromKC） ホームページの企画、デザイン、制作、保守管理 多言語ホームページ（中国語/英語/韓国語） ■グローバル事業 中国語通訳・翻訳 中国語レポート ■ITサポート事業 パソコン修理およびオンサイトサポート業務（あおもりパソコンサポートステーション） データ復旧 WiFi工事 ネットワークカメラ工事 POS等の業務用機器保守 ■映像事業 動画撮影/編集 ドローン空撮,Webマーケティング / webマーケティング / 集客 / 保守管理 / ブランディング,保守 / 管理 / サポート,飲食店 / レストラン / 美容室 / サロン / 地域
三和メディカル株式会社,https://www.sanwamedical.co.jp/,〒920-0935 石川県金沢市石引4丁目4番6号,076-222-1655,,MEOハブ候補,https://yuryoweb.com/company_info/%e4%b8%89%e5%92%8c%e3%83%a1%e3%83%87%e3%82%a3%e3%82%ab%e3%83%ab%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,眼科機器、光学機器、医療機器一般の販売、修理及び賃貸、眼科医療用医薬品の販売、医療施設における電子カルテ、画像ファイリング事業、眼科開業における設計、施工、コンサルティング事業、眼科関連機器（医療機器、眼鏡等）における新規開発、製造、販売,集客 / SNS運用 / コンサルティング / ブランディング,運用 / 代行 / コンサルティング,クリニック / 病院 / 歯科 / 地域
株式会社アドライン,https://www.ad-line.jp/,〒418-0003 静岡県富士宮市ひばりが丘111,0544-26-6265,,MEOハブ候補,https://yuryoweb.com/company_info/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%82%a2%e3%83%89%e3%83%a9%e3%82%a4%e3%83%b3/,総合広告業／印刷物媒体企画制作編集・HP企画制作・看板企画制作 企画～制作まで、広告に関するあらゆるご提案 店舗（看板）デザイン企画制作 印刷物デザイン企画制作 webデザイン企画制作 モバイルサイト企画制作 広告（販売）戦略 その他 静岡県のおすすめ制作会社 富士宮市のホームページ制作会社 伊東市のホームページ制作会社 静岡県のホームページ制作会社 浜松市のホームページ制作会社 静岡市のホームページ制作会社 静岡県の制作会社一覧 静岡市 浜松市 沼津市 熱海市 三島市 富士宮市 伊東市 島田市 富士市 磐田市 焼津市 掛川市 藤枝市 御殿場市 下田市 裾野市 湖西市 御前崎市 菊川市 伊豆の国市 賀茂郡 田方郡 駿東郡 榛原郡,集客 / SNS運用,運用,店舗 / 飲食店 / レストラン / 病院 / 学習塾 / 不動産 / 自動車
株式会社関西エージェンシー,https://www.kansai-agc.jp/,〒542-0081 大阪府大阪市中央区南船場1-3-7 永都ビル大阪長堀3F,06-6657-5498,,MEOハブ候補,https://yuryoweb.com/company_info/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e9%96%a2%e8%a5%bf%e3%82%a8%e3%83%bc%e3%82%b8%e3%82%a7%e3%83%b3%e3%82%b7%e3%83%bc/,●交通広告、野外広告、電柱広告、店舗看板、映像付屋内看板モニゾウくん ●チラシ・パンフレット制作、ノベルティーグッズ制作、会社案内制作、名刺・封筒印刷、新聞オリコミ・ポスティング ●ホームページ制作・運営、ネットショップの制作・運営、SEO対策、きずなメール(メルマガシステム)、ミツモネット(自動見積もりシステム)、TV・ラジオCM制作 ●イベント企画・運営、オーダーメイド着ぐるみ制作 ●各種デザイン、ロゴ・イラスト作成、写真撮影、動画制作等,Webマーケティング / webマーケティング / 集客 / コンサルティング / ブランディング,代行 / コンサルティング / 月額,店舗 / 不動産 / 地域
株式会社フェニックス,https://grandphoenix.com/,〒124-0023 東京都葛飾区東新小岩5-20-10,080-8720-4843,,MEOハブ候補,https://yuryoweb.com/company_info/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%83%95%e3%82%a7%e3%83%8b%e3%83%83%e3%82%af%e3%82%b9/,オンラインサロン運営・構築 システム保守 パソコン修理（サポート・トラブル） LAN工事・電話工事 HDDデータ復旧 パソコン家庭教師 ホームページ制作 SEO対策 オークション出品代行 中古パソコン等の販売、買取 古物商許可（東京都公安委員会第307760407171号） その他附随する項目,集客,保守 / 代行 / サポート,サロン
株式会社日本廣告工藝社,https://www.j-aia.jp/,〒160-0022 東京都新宿区新宿5-18-20,03-6861-3835,,MEOハブ候補,https://yuryoweb.com/company_info/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e6%97%a5%e6%9c%ac%e5%bb%a3%e5%91%8a%e5%b7%a5%e8%97%9d%e7%a4%be/,ホームページ制作事業 WEBメディア事業 SEO対策事業 DTP事業,集客 / ブランディング,サポート,士業
V-HoPe株式会社,https://softlyone.com/,〒104-0054 東京都中央区勝どき3-15-3,03-3520-9954,,MEOハブ候補,https://yuryoweb.com/company_info/v-hope%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,・保険代理店専用ホームページ制作 ・バックアップデータのサーバーインターフェイス提供 ・保険業務に関する情報およびコンテンツ提供 ・医的コンテンツ（疾患・人体のしくみ等）提供,集客,代行,
株式会社システムワークス,https://sys-works.blue/,〒414-0017 静岡県伊東市幸町２－５,0557-36-8566,,MEOハブ候補,https://yuryoweb.com/company_info/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%82%b7%e3%82%b9%e3%83%86%e3%83%a0%e3%83%af%e3%83%bc%e3%82%af%e3%82%b9/,・パソコン、部品の新・中古販売 ・システムサポート、修理、設定他 ・ソフトウェア、データベース開発、管理他 ・印刷物デザイン制作、作成 ・ホームページ、ネットショップ作成、管理他 ・教室運営（パソコン、学習塾） ・経営コンサルタント（業務サポート） 資格・認証 おもてなし規格,集客 / コンサルティング,運用 / 管理 / サポート / コンサルティング,飲食店 / レストラン / 学習塾 / 地域
株式会社SOU,https://fudosan.in.net/,〒810-0075 福岡県福岡市中央区港1丁目4-22,050-5880-3921,,MEOハブ候補,https://yuryoweb.com/company_info/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%besou/,不動産IT顧問業、不動産ITコンサルタント、不動産テック事業、情報セキュリティ事業、経営コンサルタント、広告作成 （WEB作成、WEB運用、WEB集客、WEB効果測定、WEBマーケティング CRM＆MA導入、CRM＆MA伴走支援、動画作成、各種広告デザイン作成、システム開発等）,Webマーケティング / webマーケティング / 集客 / コンサルティング / ブランディング,運用 / コンサルティング,飲食店 / レストラン / 不動産 / 士業
Ichigo Branding 株式会社,https://ichigo-branding.com/,〒130-0003 東京都墨田区横川2-12-12,0120-916-625,,MEOハブ候補,https://yuryoweb.com/company_info/ichigo-branding-%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,アメブロカスタマイズ作成・名刺作成・ホームページ制作 コンサルティング・個別指導 セミナー・研修の企画・運営,Webマーケティング / webマーケティング / 集客 / コンサルティング,コンサルティング,美容室 / サロン / 歯科
