decision,company_name,url,contact_url,address,phone,evidence,reason,source_url
accept,株式会社タートル,https://foodapp.jp/,https://foodapp.jp/download.html,〒730-0037 広島県広島市中区中町1-21-202 カートレスタジオ 事業内容 モバイルオーダー事業 AI導入コンサルティング アプリ開発・システム開発 映像制,,飲食店／予約システム,,https://foodapp.jp/
accept,株式会社レバレッジ・イノベーション,https://leverage-i.co.jp/,https://leverage-i.co.jp/contact/,〒166-0003 東京都杉並区高円寺南4-24-1 五城ビル６階 TEL / FAX 03-6383-2799 URL http://www.leverage-i.,,飲食店／開業支援,,https://leverage-i.co.jp/
reject,,,,,,,fetch_failed,https://www.foodbusiness-ad.com/
accept,株式会社 森野義,https://www.morinogi.co.jp/,https://www.morinogi.co.jp/contact/,〒612-0029 京都市伏見区深草西浦町7丁目26 TEL：075-642-7836 神戸支店 〒651-2142 兵庫県神戸市西区二ツ屋1丁目2-15 TEL：078-927-7200 金沢営業所,075-642-7836,飲食店／開業支援,,https://www.morinogi.co.jp/
accept,ベジクル株式会社,https://www.vegekul.com/,https://www.vegekul.com/form/?lp=site,,,飲食店／開業支援,,https://www.vegekul.com/
accept,社名 株式会社,https://piantiamo.com/,https://piantiamo.com/contact/index.html,,06-6955-9805,飲食店／開業支援,,https://piantiamo.com/
accept,DeCo合同会社,https://inshokukaigyo.com/,https://inshokukaigyo.com/contactus/,,03-5846-9234,飲食店／開業支援,,https://inshokukaigyo.com/
accept,株式会社タニワチ,https://www.taniwachi.com/,https://www.taniwachi.com/,090-3868-8566 所在地 〒572-0837 大阪府寝屋川市早子町19-6 事業内容 ・フランチャイズ本部の立ち上げ支援/加盟店開拓 ・開業支援/独立支援 ・飲食店の運営 ・貨物軽自動車運,,飲食店／開業支援,,https://www.taniwachi.com/
reject,,,,,,,fetch_failed,https://noahinc.co.jp/
accept,株式会社ワッド,https://www.catchtable.jp/,https://www.catchtable.jp/,〒108-0075 東京都港区港南二丁目16番4号 品川グランドセントラルタワー8F 事業内容 日本の飲食店向け 順番待ち・予約・集客CRMサービスの企画・開発・運営,,飲食店／ブランディング,,https://www.catchtable.jp/
