address,business_description,company_name,confidence,contact_form_url,contact_url,decision,detail_url,evidence_detail,evidence_urls,generic_email,hub_evidence,hub_type,last_verified_at,list_text,maps_url,margin_fit,phone,pool_source_file,reason,recurring_evidence,recurring_relationship,reject_reason,review_status,source_url,status,store_client_access,store_evidence,url,why_fit
〒810-0042 福岡県福岡市中央区赤坂1丁目10-9ロクバイビル8F,WEBシステム開発 ホームページ制作 ハードウェア 福岡県のおすすめ制作会社 福岡市のホームページ制作会社 直方市のホームページ制作会社 小郡市のホームページ制作会社 大牟田市のホームページ制作会社 宗像市のホームページ制作会社 福岡県の制作会社一覧 北九州市 福岡市 大牟田市 久留米市 直方市 飯塚市 田川市 八女市 筑後市 行橋市 中間市 筑紫野市 春日市 大野城市 宗像市 太宰府市 福津市 うきは市 嘉麻市 朝倉市 糸島市 那珂川市 糟屋郡 遠賀郡 鞍手郡 嘉穂郡 朝倉郡 京都郡,C-limber株式会社,,,,,,,,,MEO / 集客 / コンサルティング / ブランディング,,,,,,092-791-3437,directory_851_950.csv,,管理 / コンサルティング,,公式サイト取得不能または別ドメインへ移動,RECHECK,https://yuryoweb.com/company_info/c-limber%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,,飲食店 / レストラン / 美容室 / サロン / クリニック / 病院 / 歯科,https://c-limber.co.jp/,
〒150-0013 東京都渋谷区恵比寿４－３－１,ECコンサルティング SEO対策 Web広告運用 東京都のおすすめ制作会社 渋谷区のホームページ制作会社 東京都のホームページ制作会社 港区のホームページ制作会社 新宿区のホームページ制作会社 豊島区のホームページ制作会社 東京都の制作会社一覧 千代田区 中央区 港区 新宿区 文京区 台東区 墨田区 江東区 品川区 目黒区 大田区 世田谷区 渋谷区 中野区 杉並区 豊島区 北区 荒川区 板橋区 練馬区 足立区 葛飾区 江戸川区 八王子市 立川市 武蔵野市 三鷹市 青梅市 府中市 昭島市 調布市 町田市 小金井市 小平市 日野市 東村山市 国分寺市 国立市 福生市 狛江市 東久留米市 多摩市 稲城市 羽村市 あきる野市 西東京市 西多摩郡,ECコンサルティング株式会社,,,,,,,,,Webマーケティング / webマーケティング / 集客 / 広告運用 / SNS運用 / コンサルティング / ブランディング,,,,,,03-3473-3456,daily_directory_enriched.csv,,運用 / コンサルティング,,公式ページに顧客向けWeb制作・集客運用サービスの明確な根拠なし,RECHECK,https://yuryoweb.com/company_info/ec%e3%82%b3%e3%83%b3%e3%82%b5%e3%83%ab%e3%83%86%e3%82%a3%e3%83%b3%e3%82%b0%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,,,https://xn--ec-lg4a3bnm3j5mmce.com/,
〒001-0018 北海道札幌市北区北18条西3丁目1-12 18条タ-ミナルビル404,WEBサイト制作・WEBマーケティング事業,Bakutoba lab株式会社,B,http://bakutoba-lab.com/?page_id=75,http://bakutoba-lab.com/?page_id=75,,,"[{""url"": ""http://bakutoba-lab.com/"", ""text"": ""札幌のWEB制作、IT、デザイン、マーケティング|Bakutoba lab 北海道・札幌のWEB制作、IT、デザイン、WEBマーケティング会社|Bakutoba lab(バクトバ ラボ株""}, {""url"": ""http://bakutoba-lab.com/"", ""text"": ""札幌のWEB制作、IT、デザイン、マーケティング|Bakutoba lab 北海道・札幌のWEB制作、IT、デザイン、WEBマーケティング会社|Bakutoba lab(バクトバ ラボ株式会社) Bakutoba lab(バクトバラボ)株式会社 011-746-4446""}, {""url"": ""http://bakutoba-lab.com/"", ""text"": ""があります。今現在は世界最高レベルに届いていませんが、価格に対して最も高いレベルの仕事をする自負があります。 WEB制作・システム開発・企業ホームページ制作 WEBマーケティングを活用した結果が出るホームページを制作します。SEO対策、リスティング広告、ポータルサイト、ECサイト、なんでも""}, {""url"": ""http://bakutoba-lab.com/"", ""text"": ""ベルに届いていませんが、価格に対して最も高いレベルの仕事をする自負があります。 WEB制作・システム開発・企業ホームページ制作 WEBマーケティングを活用した結果が出るホームページを制作します。SEO対策、リスティング広告、ポータルサイト、ECサイト、なんでもご相談ください。 もっと読む ロゴ・""}, {""url"": ""http://bakutoba-lab.com/"", ""text"": ""する自負があります。 WEB制作・システム開発・企業ホームページ制作 WEBマーケティングを活用した結果が出るホームページを制作します。SEO対策、リスティング広告、ポータルサイト、ECサイト、なんでもご相談ください。 もっと読む ロゴ・名刺・パンフレット・ポスター・パッケージ WEBデザインで培""}]",http://bakutoba-lab.com/,,Webマーケティング / webマーケティング / 集客 / コンサルティング / ブランディング,ADD_ON_HUB,2026-08-27T14:37:34,,,unknown,011-746-4446,daily_directory_enriched.csv,,コンサルティング,unknown,,EVIDENCE_CHECKED,https://yuryoweb.com/company_info/bakutoba-lab%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,unknown,,http://bakutoba-lab.com/,公式ページで「札幌のWEB制作、IT、デザイン、マーケティング|Bakutoba lab 北海道・札幌のWEB制作、IT、デザイン、WEBマーケティング会社|Bakutoba lab(バクトバ ラボ株」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
〒102-0074 東京都千代田区九段南一丁目5番6号 りそな九段ビル5F-KSフロア,メタバース制作／Webサイト制作／LP制作／コーポレート・採用サイト／ECサイト・多店舗管理／予約・会員管理システム開発／動画制作／スマホアプリ開発／業務効率化・DX支援 主要取引先 テレビ通販企業／美容室グループ／医療エステ／健康食品メーカー 他,BLUE ROCK GEAR合同会社,A,https://bluerock-g.co.jp/#contact,,keep,,"[{""url"": ""https://bluerock-g.co.jp/"", ""text"": ""制作 没入型3D空間、イベント、展示、ブランド体験。世界観の設計から空間構築まで。 METAVERSE 02 ホームページ制作 コーポレート、採用、LP、EC。ブランドと事業成果を両立するWebサイトを設計。 WEB DESIGN 03 ソフトウェア開発 iOS / Androidアプリ、予約・""}, {""url"": ""https://bluerock-g.co.jp/"", ""text"": ""す。 03 / CLEAR & FAST 短納期・ 明瞭な費用 小さく見せ、素早く判断する進行で手戻りを削減。Web制作は1〜2ヶ月が目安です。 SELECTED WORKS つくったものが、 私たちの答えです。 守秘義務に配慮し、自社プロダクトと 公開可能なプロジェクトを掲載しています。""}, {""url"": ""https://bluerock-g.co.jp/"", ""text"": ""2-0074 東京都千代田区九段南一丁目5番6号 りそな九段ビル5F-KSフロア 事業内容 メタバースの企画・制作・運用/ホームページの企画・制作・運用/映像・広告の企画・制作/情報処理サービス業/マーケティング戦略の調査・研究/AI導入サポート 対応エリア 全国(オンライン可) URL blueroc""}, {""url"": ""https://bluerock-g.co.jp/#company"", ""text"": ""制作 没入型3D空間、イベント、展示、ブランド体験。世界観の設計から空間構築まで。 METAVERSE 02 ホームページ制作 コーポレート、採用、LP、EC。ブランドと事業成果を両立するWebサイトを設計。 WEB DESIGN 03 ソフトウェア開発 iOS / Androidアプリ、予約・""}, {""url"": ""https://bluerock-g.co.jp/#company"", ""text"": ""す。 03 / CLEAR & FAST 短納期・ 明瞭な費用 小さく見せ、素早く判断する進行で手戻りを削減。Web制作は1〜2ヶ月が目安です。 SELECTED WORKS つくったものが、 私たちの答えです。 守秘義務に配慮し、自社プロダクトと 公開可能なプロジェクトを掲載しています。""}]",https://bluerock-g.co.jp/ | https://bluerock-g.co.jp/#company,,広告 / 運用 / 管理 / ホームページ制作 / WEB制作 / Web制作,ADD_ON_HUB,2026-08-27T14:37:34,,,unknown,,weblinks_1_250.csv,,,confirmed,,EVIDENCE_CHECKED,https://www.weblinks.jp/hpvendor/1785320107-741586,MEOハブ候補,confirmed,,https://bluerock-g.co.jp/,公式ページで「制作 没入型3D空間、イベント、展示、ブランド体験。世界観の設計から空間構築まで。 METAVERSE 02 ホームページ制作 コーポレート、採用、LP、EC。ブランドと事業成果を両立するWebサイトを設計。 WEB DESIGN 03 ソフトウェア開発 iOS / A」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
〒188-0011 東京都西東京市田無町5-3-4-401,,All Home Page株式会社,A,https://all-hp.com/contacts/,https://all-hp.com/contacts/,,,"[{""url"": ""https://all-hp.com/"", ""text"": ""WEBサイト制作/ホームページ製作 All Home Page株式会社 東京都 Menu All Home Page株式会社 WEBSITES/SYSTEM/APP Home 会社案内 ""}, {""url"": ""https://all-hp.com/"", ""text"": ""u All Home Page株式会社 WEBSITES/SYSTEM/APP Home 会社案内 料金一覧 WEBサイト制作 WEBサイト制作の特徴と料金 MtoM サイトお引越しサービス 自動応答「作れるWEBCHAT」 多機能フォーム作成 WEB広告 Google広告、ニュース広告 システ""}, {""url"": ""https://all-hp.com/"", ""text"": ""e Page株式会社 WEBSITES/SYSTEM/APP Home 会社案内 料金一覧 WEBサイト制作 WEBサイト制作の特徴と料金 MtoM サイトお引越しサービス 自動応答「作れるWEBCHAT」 多機能フォーム作成 WEB広告 Google広告、ニュース広告 システム・LINE開発 ""}, {""url"": ""https://all-hp.com/"", ""text"": ""ット職人」のお問合せ 更新情報 お知らせ WEBの豆知識 スタッフブログ 女性社長ブログ クライアント様の声 WEBサイト制作事例 ネットショップ 行政・士業 学会・法人 医療・健康 学校・教育 飲食・生活 芸術・エンタメ 非営利団体 印刷物・デザイン事例 大切にしているのは 信頼と誠実です ク""}, {""url"": ""https://all-hp.com/"", ""text"": ""r Craft Association 他の方々にも強くお勧めしたい All Home page 株式会社様にホームページを制作していただき、... 浅野肖像画工房 自分で更新、とてもやり易い 3年前All Home page株式会社にホームページを制作して頂きと... 画家 小高朋恵 BON 任""}]",https://all-hp.com/,,集客 / 広告運用 / ブランディング,ADD_ON_HUB,2026-08-27T14:37:35,,,unknown,042-427-5571,daily_directory_enriched.csv,,運用,confirmed,,EVIDENCE_CHECKED,https://yuryoweb.com/company_info/all-home-page%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,confirmed,,https://all-hp.com/,公式ページで「WEBサイト制作/ホームページ製作 All Home Page株式会社 東京都 Menu All Home Page株式会社 WEBSITES/SYSTEM/APP Home 会社案内 」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
〒251-0035 神奈川県藤沢市片瀬海岸1-12-13,Unity用3DCGオブジェクト/Asset作成、Unityプログラム開発 パチンコ/パチスロ遊技機用3DCG画像開発 3Dプリンティング事業 3Dゲームアプリ開発 3D立体映像コンテンツ開発 3D医療コンテンツ制作 3D電子書籍コンテンツ事業 iPhoneアプリ開発 iPad/タブレット専用アプリ開発 Androidアプリ開発 GalaxyNote専用アプリ開発 スマートフォン販促支援 アプリ販促映像の企画・制作 電子書籍アプリ出版事業 電子書籍アプリ協会 人材開発/人材育成支援 エンジニア育成支援 「サーファー&エンジニア波乗り会」運営 シニア向けアプリ開発勉強会「シニアップSCHOOL」運営 Unity勉強会「Unity Cafe」運営 Fast Bridal事業 レストランウェディングビデオ撮影 Youtube公式コンテンツ配信事業 Ustream配信支援 神奈川県のおすすめ制作会社 藤沢市のホームページ制作会社 鶴見区のホームページ制作会社 新横浜のホームページ制作会社 関内・みなとみらいのホームページ制作会社 武蔵小杉のホームページ制作会社 神奈川県の制作会社一覧 横浜市 川崎市 相模原市 横須賀市 平塚市 鎌倉市 藤沢市 小田原市 茅ヶ崎市 逗子市 秦野市 厚木市 大和市 伊勢原市 海老名市 座間市 三浦郡 足柄下郡,3DCM株式会社,,,,keep,,,,,販促,,,,,,0466-90-3059,pilot_directory_audit_361_540.csv,,,,公式ページに顧客向けWeb制作・集客運用サービスの明確な根拠なし,RECHECK,https://yuryoweb.com/company_info/3dcm%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,,レストラン / クリニック / 病院 / 歯科,https://3dcm.jp/,
〒310-0841 茨城県水戸市酒門町5123 1F,・ホームページ制作（企画、デザイン、コーディング等） ・VR・ARを用いたビジネスの提案 ・インターネットシステム、モバイルアプリケーションの企画および開発 ・動画撮影・映像の企画・撮影・編集 ・デジタルコンテンツの制作 ・パンフレットやポスターなどの印刷物の企画、制作 ・翻訳および外国語のホームページなどの制作 ・WEBを利用したプロモーションの企画、立案、コンサルタント 茨城県のおすすめ制作会社 水戸市のホームページ制作会社 潮来市のホームページ制作会社 つくばみらい市のホームページ制作会社 かすみがうら市のホームページ制作会社 ひたちなか市のホームページ制作会社 茨城県の制作会社一覧 水戸市 日立市 土浦市 古河市 石岡市 結城市 龍ケ崎市 下妻市 常総市 常陸太田市 北茨城市 笠間市 取手市 牛久市 つくば市 ひたちなか市 鹿嶋市 潮来市 守谷市 筑西市 かすみがうら市 神栖市 行方市 つくばみらい市 那珂郡 久慈郡 稲敷郡 猿島郡 境町,EWORKS株式会社,B,https://eworks-group.co.jp/contact/,https://eworks-group.co.jp/contact/,,,"[{""url"": ""https://eworks-group.co.jp/"", ""text"": ""Quality, and Fair Pricing EWORKS株式会社は「生成AI・メタバース・VR/AR・Webサイト/ホームページ制作」を、内製体制でワンストップ提供するITプロフェッショナルチームです。さらに「IT事業」だけにとどまらず「教育事業」「飲食事業」など幅広く事業を展開しております。 弊社は""}, {""url"": ""https://eworks-group.co.jp/company/"", ""text"": ""0,000円 事業内容 AI・VR・ARおよびメタバースを用いた各種ソリューションの開発およびビジネスの提案 ホームページ制作(企画、デザイン、コーディング等) インターネットシステム、モバイルアプリケーションの企画および開発 動画撮影・映像の企画・撮影・編集 デジタルコンテンツの制作 パンフレ""}, {""url"": ""https://eworks-group.co.jp/company/"", ""text"": ""企画・撮影・編集 デジタルコンテンツの制作 パンフレットやポスターなどの印刷物の企画、制作 翻訳および外国語のホームページなどの制作 教育事業 飲食事業 TOP 事業一覧 会社概要 お問い合わせ Back To Top お問い合わせ""}]",https://eworks-group.co.jp/ | https://eworks-group.co.jp/company/,,ブランディング,ADD_ON_HUB,2026-08-27T14:37:36,,,unknown,029-350-1473,daily_directory_enriched.csv,,,unknown,,EVIDENCE_CHECKED,https://yuryoweb.com/company_info/eworks%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,confirmed,,https://eworks-group.co.jp/,"公式ページで「Quality, and Fair Pricing EWORKS株式会社は「生成AI・メタバース・VR/AR・Webサイト/ホームページ制作」を、内製体制でワンストップ提供するITプロフェッショナルチームです。さらに「IT事業」だけにとどまらず「教育事業」「飲食事業」な」を確認。MEOの追加提案候補（外注意向・採算は未確認）。"
〒917-0024 福井県小浜市和久里33-23-6,,MATT合同会社,B,https://matt-g.jp/contact/index.html,,keep,,"[{""url"": ""https://matt-g.jp/about/index.html"", ""text"": ""などを担当。 web 恒吉望 経済学専攻 2年間イギリスの知的障害者が生活するコミュニティで働く。SEO対策・WEB制作について学ぶ。WEB全般を担当。 会社沿革 2011年 兵庫県でまえだロゴ(個人事務所)設立 2014年 福井県と兵庫県で活動 2018年 MATT合同会社に改組 受賞歴""}]",https://matt-g.jp/about/index.html,info@matt-g.jp,集客,ADD_ON_HUB,2026-08-27T14:37:36,,,unknown,080-6356-1401,pilot_directory_audit_181_360.csv,,,unknown,,EVIDENCE_CHECKED,https://yuryoweb.com/company_info/matt%e5%90%88%e5%90%8c%e4%bc%9a%e7%a4%be/,MEOハブ候補,unknown,病院 / 学習塾,https://matt-g.jp/,公式ページで「などを担当。 web 恒吉望 経済学専攻 2年間イギリスの知的障害者が生活するコミュニティで働く。SEO対策・WEB制作について学ぶ。WEB全般を担当。 会社沿革 2011年 兵庫県でまえだロゴ(個人事務所)設立 2014年 福井県と兵庫県で活動 2018年 MATT合」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
〒221-0005 神奈川県横浜市神奈川区松見町1-21-6,ホームページ・ECサイト制作 リニューアル コンサルティング ブログ・CMSサイト構築 独自CMSツールの開発 ランディングページ・キャンペーンサイト・プロダクトサイト制作 ​ネットショップコンサルティング 神奈川県のおすすめ制作会社 横浜市のホームページ制作会社 鶴見区のホームページ制作会社 新横浜のホームページ制作会社 関内・みなとみらいのホームページ制作会社 武蔵小杉のホームページ制作会社 神奈川県の制作会社一覧 横浜市 川崎市 相模原市 横須賀市 平塚市 鎌倉市 藤沢市 小田原市 茅ヶ崎市 逗子市 秦野市 厚木市 大和市 伊勢原市 海老名市 座間市 三浦郡 足柄下郡,LION合同会社,,,,,,,,,コンサルティング,,,,,,045-878-6136,daily_directory_enriched.csv,,コンサルティング,,公式ページに顧客向けWeb制作・集客運用サービスの明確な根拠なし,RECHECK,https://yuryoweb.com/company_info/lion%e5%90%88%e5%90%8c%e4%bc%9a%e7%a4%be/,MEOハブ候補,,,https://www.lion-co.com/,
〒507-0805 岐阜県多治見市新富町1丁目16−1,WEBデザイン ・ホームページ制作 ・グラフィックデザイン ・企業ブランディング マーケティング戦略立案 ・経営計画・事業計画立案 ・ビジネススクール ・財務モニタリング ・マネジメント研修 ・業務改善及び管理ソフト作成支援 岐阜県のおすすめ制作会社 多治見市のホームページ制作会社 郡上市のホームページ制作会社 岐阜県のホームページ制作会社 土岐市のホームページ制作会社 美濃加茂市のホームページ制作会社 岐阜県の制作会社一覧 岐阜市 大垣市 高山市 多治見市 関市 中津川市 瑞浪市 羽島市 恵那市 美濃加茂市 土岐市 各務原市 可児市 瑞穂市 本巣市 郡上市 下呂市 羽島郡 不破郡 揖斐郡 本巣郡 加茂郡,Qualia Global Management株式会社,A,https://www.qgm-inc.com,https://www.qgm-inc.com,,,"[{""url"": ""https://www.qgm-inc.com/"", ""text"": "" Inc. ​クオリアマーケティング株式会社 ー マーケティングコンサルティング ー 企業ブランディング ー WEBサイト制作 ー 販促物制作 ​ー 内覧会支援 Real Freet Inc. リアルフリート株式会社 ー システム開発 ー 社内インフラ整備 ー ネットワーク環境整備 開業以来、数""}]",https://www.qgm-inc.com/,,集客 / コンサルティング / ブランディング,ADD_ON_HUB,2026-08-27T14:37:37,,,unknown,0572-21-0112,daily_directory_enriched.csv,,管理 / サポート / コンサルティング,confirmed,,EVIDENCE_CHECKED,https://yuryoweb.com/company_info/qualia-global-management%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,confirmed,,https://www.qgm-inc.com/,公式ページで「 Inc. ​クオリアマーケティング株式会社 ー マーケティングコンサルティング ー 企業ブランディング ー WEBサイト制作 ー 販促物制作 ​ー 内覧会支援 Real Freet Inc. リアルフリート株式会社 ー システム開発 ー 社内インフラ整備 ー ネットワ」を確認。MEOの追加提案候補（外注意向・採算は未確認）。
