address,business_description,company_name,decision,maps_url,phone,reason,source_url,status,url
1500002 東京都渋谷区渋谷３丁目２６番２０号,アイモバイルは、インターネット広告事業とコンシューマー事業の2つの事業領域で企業価値を高めています。具体的には、i-mobile Ad Network、i-mobile Affiliateといった広告事業を展開しています。また、ふるさと納税サイト「ふるなび」を運営しており、ふるなびプレミアム、ふるなびトラベル、ふるなびクラウドファンディング、ふるなびグルメポイント、たまるモール by ふるなびといった関連サービスも提供しています。さらに、オーテやグリーンエネルギー事業も手掛けています。これらの事業を通じて、マーケティングで価値ある体験を提供し、ユーザー及び取引先企業に対し、満足度の高いサービスを提供することを目指しています。 所在地: 東京都千代田区 所在地: 東京都 所在地: 東京都新宿区 所在地: 東京都 所在地: 東京都港区,株式会社アイモバイル,keep,,代表者名 代表取締役社長 野口 哲也,,https://db.grip.website/detail/4011001059087,MEOハブ候補,https://www.i-mobile.co.jp/sustainability/diversity.html
1620825 東京都新宿区神楽坂１丁目１番地,株式会社エフ・コードは、2006年設立・東京都新宿区神楽坂本社のDX・マーケティング支援会社です（東証グロース市場上場）。 事業内容は、CX向上SaaS「CODE Marketing Cloud」等の提供と、DX戦略設計・実行支援およびデジタルマーケティング支援の2本柱です。 「CODE Marketing Cloud」はWeb接客・EFO（エントリーフォーム最適化）・チャットボットなどを統合したマーケティングSaaSで、企業のWebサイト上での顧客体験向上を支援します。 M&Aによる事業拡大を積極的に進めており、Instagram運用支援のSAKIYOMI、動画制作のCRAFT、SNSマーケティングのBUZZ、ITコンサルのJITTなど14社のグループ会社を傘下に持ちます。連結従業員数は850名です。 デジタルマーケティング領域の専門企業をM&Aで集約しながら成長するプラットフォーム型の事業モデルが特徴です。​​​​​​​​​​​​​​​​ 所在地: 東京都中央区 所在地: 東京都港区 所在地: 東京都目黒区 所在地: 東京都港区 所在地: 東京都品川区,株式会社エフ・コード,keep,,03-6272-8991,,https://db.grip.website/detail/7011101050802,MEOハブ候補,https://f-code.co.jp/
1500031 東京都渋谷区桜丘町２６番１号,インターネットインフラ事業 インターネット広告・メディア事業 インターネット金融事業 暗号資産（仮想通貨）事業 所在地: 東京都 所在地: 東京都杉並区 所在地: 東京都新宿区 所在地: 東京都 所在地: 東京都,ＧＭＯインターネットグループ株式会社,keep,,03-5456-2555,,https://db.grip.website/detail/6011001029526,MEOハブ候補,https://group.gmo/
1120002 東京都,「オンデマンドプリント（注文が入ってから必要な数だけ印刷する）」技術を活用したアパレルやオリジナルグッズのプリントサービス事業を展開するIT・製造企業です。オリジナルTシャツなどをWebから簡単にデザイン・注文できるプラットフォーム「オリジナルプリント.jp」の運営や、自社開発した高度なプリントシステムによる短納期・低コストの受託製造を提供。在庫を持たずに多様なデザインの服やグッズを製造できる仕組みを提供し、アパレル業界の在庫問題の解決とクリエイターの活動を支援しています。 所在地: 東京都千代田区 所在地: 東京都杉並区 所在地: 東京都 所在地: 東京都目黒区 所在地: 東京都渋谷区,株式会社イメージ・マジック,keep,,代表者名 代表取締役社長 山川 誠,,https://db.grip.website/detail/4030001059302,MEOハブ候補,https://imagemagic.jp/
1500013 東京都渋谷区恵比寿１丁目２１番３号,手間いらず株式会社は、2003年8月に設立された東京都渋谷区恵比寿に本社を置くSaaS企業。宿泊施設向けの予約サイトコントローラー「TEMAIRAZU」シリーズを開発・提供しており、AgodaやHKTV Bookingなど複数の予約プラットフォームとの連携により宿泊予約から精算までを自動化するサービスを展開。また、マーケティングツール「手間なしマーケティング」や比較サイト「比較.com」も運営する。東京証券取引所に上場（証券コード：2477）し、資本金は約7億1700万円。宿泊施設のオペレーション効率化を支援する専門サービスを強みとしている。 所在地: 東京都中央区 所在地: 東京都杉並区 所在地: 東京都 所在地: 東京都千代田区 所在地: 東京都千代田区,手間いらず株式会社,keep,,03-5447-6690,,https://db.grip.website/detail/6011001044649,MEOハブ候補,https://www.temairazu.co.jp/info
2500011 神奈川県小田原市栄町２丁目１２番１０号ＳｑｕａｒｅＯ２,世界累計販売数3000万個を超える大ヒットスマートフォングッズブランド「iFace（アイフェイス）」の企画・デザイン・販売を行うメーカーとしての顔と、EC事業者向けの業務管理クラウドシステム「ネクストエンジン」を提供するIT企業としての顔を併せ持つユニークな企業です。「ネクストエンジン」は、自社のEC店舗運営の課題から生まれたシステムで、複数のECモールの受注・在庫管理を自動化し、数千社以上のネットショップ運営を支えています。 所在地: 神奈川県川崎市麻生区 所在地: 神奈川県横浜市港北区 所在地: 神奈川県横浜市西区 所在地: 神奈川県川崎市中原区 所在地: 神奈川県横浜市港北区,Ｈａｍｅｅ株式会社,keep,,代表者名 代表取締役社長 水島 育大,,https://db.grip.website/detail/9021001033474,MEOハブ候補,https://hamee.co.jp/
1500022 東京都渋谷区恵比寿南３丁目５番７号,・マーケティングソリューション事業 ・決済プラットフォーム事業 ・次世代のスタートアップ支援や投資事業 ・様々な企業との合弁事業や業務提携による新規事業創出 ・「ブロックチェーン」「AI」「VR/AR」「セキュリティ」「バイオテクノロジー」を重点分野とする新事業の技術シーズを発掘する研究開発 所在地: 東京都渋谷区 所在地: 東京都千代田区 所在地: 東京都 所在地: 東京都中央区 所在地: 東京都杉並区,株式会社デジタルガレージ,keep,,03-6367-1111,,https://db.grip.website/detail/5011001014966,MEOハブ候補,https://www.garage.co.jp/
1040033 東京都中央区新川２丁目４番７号,【公共関連事業】 学校教育市場への教育機器・教材・コンテンツの製造・販売、ICTシステムの構築、学校空間デザイン・家具販売・施工及び、公共団体向けの基幹業務他のコンピュータソフトウェアの販売、コンピュータハードの販売・保守サポート 【オフィス関連事業】 オフィス関連家具の製造・販売、これに伴う内装インテリア・ネットワークの設計・デザイン・施工、各種事務用機械、事務用品の製造・販売及びオフィス環境構築サービス 【情報関連事業】 民間企業・福祉事業者向けの基幹業務ほかのコンピュータソフトウェアの開発・販売・システムインテグレーションサービス、コンピュータハードの販売・保守サポート 所在地: 東京都杉並区 所在地: 東京都千代田区 所在地: 東京都品川区 所在地: 東京都港区 所在地: 東京都,株式会社内田洋行,keep,,代表者名 代表取締役社長 大久保 昇,,https://db.grip.website/detail/1010001034730,MEOハブ候補,https://www.uchida.co.jp/
5030974 岐阜県大垣市久瀬川町７丁目５番地の１,総合印刷会社 広告、カタログ、ＤＭ等の商業印刷 書籍、包装紙、パッケージ等の製作 所在地: 岐阜県岐阜市 所在地: 岐阜県各務原市 所在地: 岐阜県高山市 所在地: 岐阜県下呂市 所在地: 岐阜県大垣市,サンメッセ株式会社,keep,,0584-81-9111,,https://db.grip.website/detail/9200001013658,MEOハブ候補,https://www.sunmesse.co.jp/
1060032 東京都港区六本木３丁目２番１号,株式会社Speeeは、「社会の課題をDXで解決する」をテーマに複数の事業領域を展開するIT企業です。 DXコンサルティングでは、デジタル技術やAIを活用した事業成長支援、ネイティブ広告配信プラットフォーム「UZOU」、督促自動化SaaS「コンプル」などを提供しています。 レガシー産業DXでは、不動産売却一括査定「イエウール」「すまいステップ」、外壁塗装マッチング「ヌリカエ」、介護施設検索「ケアスル介護」など、不動産・リフォーム・介護といった中小企業が多くDX化が遅れがちな業界に特化したプラットフォームを多数展開しています。 金融DXでは、子会社Datachainがステーブルコインを使った国際送金ソリューションやクロスチェーンブリッジをグローバルで展開しています。 既存産業の非効率を狙い打ちにするマッチングプラットフォームと、先端技術領域への投資を組み合わせた、事業開発型のIT企業です。​​​​​​​​​​​​​​​​ 所在地: 東京都 所在地: 東京都渋谷区渋谷２丁目１５番１号 所在地: 東京都国分寺市 所在地: 東京都千代田区 所在地: 東京都新宿区,株式会社Ｓｐｅｅｅ,keep,,代表者名 大塚 英樹,,https://db.grip.website/detail/5010401084611,MEOハブ候補,https://speee.jp/
1050012 東京都,True Dataは、全国2億人以上の消費者のID-POSデータ（購買・行動データ）を分析・活用するデータマーケティング企業。小売・流通・メーカーの購買行動分析・商品開発・マーケティング施策立案に活用できるデータプラットフォームを提供。消費者購買データの分析サービスで食品・生活用品メーカー等に展開。 所在地: 東京都杉並区 所在地: 東京都 所在地: 東京都新宿区 所在地: 東京都渋谷区 所在地: 東京都中央区,株式会社Ｔｒｕｅ　Ｄａｔａ,keep,,代表者名 代表取締役社長 米倉裕之,,https://db.grip.website/detail/6010401042601,MEOハブ候補,https://www.truedata.co.jp/
1010022 東京都千代田区神田練塀町３番地,"ビープラッツ株式会社（Bplats, Inc.）は、企業がサブスクリプションビジネスを円滑に運営するためのプラットフォームを提供している会社です。 具体的には、以下のような事業内容を展開しています。 1.  **サブスクリプション統合プラットフォーム「Bplats Platform」の提供:** *   SaaS（Software as a Service）やクラウドサービス、デジタルコンテンツなど、あらゆるサブスクリプション型サービスの販売・管理・運用をワンストップで支援するプラットフォームです。 *   契約管理、課金・請求、顧客管理、パートナー管理、利用状況に応じた従量課金、プロモーション機能など、サブスクリプションビジネスに必要な多岐にわたる業務を自動化・効率化します。 *   これにより、企業は新たなサブスクリプションサービスを迅速に立ち上げ、販売チャネルを拡大し、運用コストを削減することができます。 2.  **SaaS/クラウドサービス流通プラットフォーム「Bplats Marketplace」の運営:** *   様々なSaaSやクラウドサービスを販売・購入できるオンラインマーケットプレイスを提供しています。 *   企業が自社のサービスを販売したり、他社のサービスを仕入れて顧客に提供したりする場として機能します。 3.  **サブスクリプションビジネスに関するコンサルティング・サポート:** *   サブスクリプションモデルへの移行や、既存のサブスクリプションビジネスの最適化に関するコンサルティングや導入支援を行っています。 要するに、ビープラッツ株式会社は、**企業がサブスクリプション型のビジネスモデルを構築・運用・拡大するためのITプラットフォームと関連サービスを提供するBtoB（企業間取引）の会社**です。 所在地: 東京都渋谷区 所在地: 東京都目黒区 所在地: 東京都千代田区 所在地: 東京都品川区 所在地: 東京都中央区",ビープラッツ株式会社,keep,,03-6262-9434,,https://db.grip.website/detail/6010001119584,MEOハブ候補,https://www.bplats.co.jp/
