company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,H1,区分,検出ワード
トゥエンティフォー株式会社,https://24-sweets.com/,,,,https://24-sweets.com/contact/,,,,,,,,,A｜開業・出店・FC・店舗コンサル,FC・多店舗ハブ：スイーツを専門とした無人ショップであり、トレンドスイーツから全国各地のお取り寄せスイーツまで幅広くセレクトしたスイーツを紹介。
株式会社Blanc-ブラン,http://www.blanc-group.co.jp/,,,,http://www.blanc-group.co.jp/documentation,,,,,,,,,A｜開業・出店・FC・店舗コンサル,FC・多店舗ハブ：「マツエク」の検索数は2012年から右肩上がりに上昇中。業界規模は約2倍の1500億円に成長しています。 顧客の関心も高まる市場でありながら、美容師法などの法整備がされ、誰にも簡単に出店できなくなりました。このタイミングの今こそチャンスです
株式会社CareNation,https://carenation.jp/,,,,https://carenation.jp/other-contact,,,,,,,,,A｜開業・出店・FC・店舗コンサル,FC・多店舗ハブ：介護フランチャイズでは初の住宅型有料老人ホーム(16床)+25名定員(個室9床)お泊りデイサービスの業態! 住宅型有料老人ホームと組み合わせる事でデイサービスの「高稼働」の継続が可能。物件は本部が指定エリア内で開設したい地域に新築の専用物件
株式会社GIANT,https://giantswingproductions.com/,,,,https://giantswingproductions.com/contact,,,,,,,,,A｜開業・出店・FC・店舗コンサル,FC・多店舗ハブ：トレーラーハウスを活用し、「美容×サウナ×グランピング」を融合させたウェルネス複合事業モデル。 低コスト・短工期で導入可能な可動式トレーラーハウスにより、小規模から開始でき、遊休地活用や新規事業に適したモデルである。 本部委託型フランチャイ
GTキャピタルファンド株式会社,https://capital-funds.co.jp/,,,,https://capital-funds.co.jp/contact.html,,,,,,,,,A｜開業・出店・FC・店舗コンサル,FC・多店舗ハブ：【外貨両替機のオーナー様募集】 自動外貨両替機を購入し、設置するだけで事業がスタートできます。 外貨を円に両替する際の手数料で稼げる自動外貨両替機ビジネスです。 設置費無料、人件費不要! 本業に集中しながら副収入が得られます。 設置場所も弊
株式会社HER,https://www.her.co.jp/,,,,https://www.her.co.jp/contact/,,,,,,,,,A｜開業・出店・FC・店舗コンサル,FC・多店舗ハブ：環境計量証明事業を主体とした環境分析、測定、水質検査等の環境計量証明フランチャイズシステム。 創業以来34年以上で培ったノウハウを基に、各都道府県に1店舗限定のFC事業を展開。
株式会社HITOSUKE,https://hitosuke.com/,,,,https://hitosuke.com/contact,,,,,,,,,A｜開業・出店・FC・店舗コンサル,FC・多店舗ハブ：ラーメン GINZA TON BOX のフランチャイズモデルを紹介するとともに、フードコートにて看板商品である「醤油ラーメン」を販売する。 ミシュラン12年連続掲載の店主が監修した豚清湯スープのラーメンを提供し、味のクオリティやオペレーショ
株式会社HLC,https://s-hlc.co.jp/,,,,https://s-hlc.co.jp/contact/,,,,,,,,,A｜開業・出店・FC・店舗コンサル,FC・多店舗ハブ：昭和のデイサービスはもう終わり!検証に検証を重ね、負ける気がしない圧倒的自信作を見て感じて頂きたい! どこの地域でも圧倒的に魅了され、顧客ニーズにマッチ!今まで無かった新しく斬新なリハビリ特化型デイサービス!!! 経験とノウハウを生かし、業
株式会社HYV,https://hyv.co.jp/,,,,https://hyv.co.jp/contact,,,,,,,,,A｜開業・出店・FC・店舗コンサル,FC・多店舗ハブ：【Olive pilates by the SILK】 【オーダーメイド整体 TADASU】
株式会社K Village,https://fc.kvillage.jp/lp01-1/,,,,https://fc.kvillage.jp/lp01-1/#contact,,,,,,,,,A｜開業・出店・FC・店舗コンサル,"FC・多店舗ハブ：全国27校・生徒数16,000人超の韓国語教室「K Village韓国語」のフランチャイズ募集である。月間1,500件超の体験問い合わせを基盤に、開業後の集客・運営を本部が仕組みで支援する。直営全校黒字の再現性を強みに、初心者でも取り組める"
