address,business_description,company_name,decision,hub_evidence,maps_url,phone,reason,recurring_evidence,source_url,status,url
,"はじめまして、コーボー株式会社です。

東京を拠点に大手からスタートアップまで幅広い規模感の案件に携わっています。
デザイナー、エンジニアともに第一線で活動しているメンバーで構成したチームで高品質のサービスを提供いたします。

まずはお気軽にご相談ください！",コーボー株式会社,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/co-bo,MEOハブ候補,https://co-bo.tech
,"日本エンタープライズグループは、
加速度的に変化し続けるお客様のニーズに応え、新たな価値の創出を目指します。
クライアント様に寄り添い、企画・デザイン・マークアップ・リリース後のアクセス解析など、トータルでのサポートを得意としています。",日本エンタープライズ株式会社,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/nihon-e,MEOハブ候補,https://www.nihon-e.co.jp/
,株式会社セレクトタイプは、東京都にあるWebサイト制作会社。豊富なテンプレートを使用して無料で簡単に予約システムを構築できるプランのほか、予約システムやメールフォーム付きホームページを構築できるプランがある。予約サイト内や通知メールが多言語対応可能で、ニーズの多い英語と中国語には翻訳テンプレートが用意されており、スムーズな設定ができる。,株式会社セレクトタイプ,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/select-type,MEOハブ候補,https://select-type.com/
,,Mihi Marketing,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/mihi,MEOハブ候補,https://mihi.marketing/
,"企画から運用までワンストップで行う会社です。
元々がシステム会社というのもあり、Web制作はもちろん、システムが絡んでくるサイトなども弊社でワンストップで対応可能。
さらに多種多様な業界で制作実績があり、映像編集や撮影、写真のレタッチなども対応可能ですのでお気軽にご連絡ください。",株式会社シーファイブ,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/c-fiv,MEOハブ候補,https://c-fiv.com/
,クライアント企業と顧客をつなぐためのネットショップの構築を得意としており、様々な業界のサイト構築実績を持つ。,コンセプトボックス,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/conceptbox,MEOハブ候補,http://conceptbox.jp/case/index.html
,"弊社はHP、ECサイト作成、広告運用、キャスティングなど幅広く対応しております！
基本的にはNOと言わない姿勢で取り組んで参ります。
なるべくお安く、クウォリティの高い物を目指します。

何卒よろしくお願いいたします。",株式会社FASTPLUS,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/fastplus,MEOハブ候補,https://amairo.store/
,"大阪本社のシステム開発・ホームページ制作を手掛けておる企業で、WEBシステム・ホームページは沖縄事業所を中心に展開。
WORDPRESSなどCMSを活用したホームページ制作ではご要望にあわせた柔軟なカスタマイズ対応を得意とし、お客様からご評価をいただいています。
また不動産領域に特化したホームページパッケージ「ehome-V」を開発、全国に展開しており、リモート対応もご評価いただいています。",アルカディア・システムズ株式会社,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/dejikichi,MEOハブ候補,http://dejikichi.com/case_studies
,"集客に繋がるホームページ制作なら株式会社ティーエルマーケティングにお任せください。
これまでに1,000社以上の制作実績があり、様々な業種・業態のお客様に対し結果を出してきました。
今の時代を勝ち抜く為のノウハウがありますのでホームページ制作をお考えならご相談ください。",株式会社ティーエルマーケティング,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/tl-marketing,MEOハブ候補,https://tl-marketing.jp/hp/voice/
,静岡県浜松市を拠点に展開する制作会社です。「個人情報コンサルティング」や「事務局」「コールセンター」業務から「ウェブサイト制作」、「広告運用」「宣伝ツール（カタログ・冊子・会社案内・雑誌広告等）制作」までワンストップで対応いたします。イメージ映像や商品紹介の動画撮影や映像編集、ドローンによる空撮・VR撮影も対応可能です。,株式会社ナビ,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/japan-navi,MEOハブ候補,https://www.japan-navi.com/
,,株式会社MAGNETICA studio,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/magnetica-studio,MEOハブ候補,https://www.magnetica-studio.com/
,"2018年度より、株式会社フィジビリと関わりがあるフリーランスでチームを作り、Webの受託事業を行って参りました。

そして2019年度より、Web制作からSEO、広告運用をはじめとしたマーケティング、収益化まで一気通貫でサポートできるフリーランスチームを結成いたしました。

現在、チームには20名ほどのフリーランスが在籍しており、依頼ごとに各分野のプロが集まり、 互いのスキルを結集しながらプロダクトを制作しています。",ノマド家,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/sojikun,MEOハブ候補,https://feasibili.co.jp/
,"【日本初のShopify Boot Camp#1 修了・Shopify Experts認定企業】
「ありそうでなかったを実現する」をモットーに中小企業や小規模事業者様の皆様が持っている素晴らしい技術、アイデア、商品を全国へ発信するお手伝いをします。
私たちもECサイトをShopifyで運営。日々ストア運営をする経験から具体的な実務レベルのお悩みが自分事として理解できます。
2021年3月より長野県佐久市にオフィスを開設。佐久市あるいは長野県の地域密着サービスを強化しています。",合同会社FRONTIER TRADE,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/frontier-trade,MEOハブ候補,https://ec.frontier-trade.jp/shopify-service/
,"【お客様から信頼していただけることは、私たちにとって最大の喜びです。】
お客様に安心感を与えるのは私たちの基本目標です。
これに基づいて、できる限りお客様に高品質のサービスを提供致します。",和祥株式会社,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/twasho,MEOハブ候補,https://www.gesac.jp/
,"Alconostのサービスは、創設者自身が担当したソフトウェアの海外展開プロジェクトにおける多言語翻訳とその実装の経験から生まれ、「IT企業の海外展開を支援する」というミッションに基づいて、翻訳・ローカライズサービスのほか、多言語での動画制作、マーケティング・広告運用など幅広いサービスを提供しています。

これまで、個人開発者から、マイクロソフト、カスペルスキー、バイトダンスといった世界のトップブランド企業まで、幅広いクライアントから支持をいただき、合わせて1,500以上のローカライズプロジェクトや1,000本以上の動画制作サービスなどを提供してきました。",Alconost,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/alconost,MEOハブ候補,https://alconost.com/ja/localization/case-studies
,"WafuCreationを運営している佐野康宏です。
山梨県身延町を中心に地域創生を理念としています。
地方の個人事業、小規模・中規模企業の方は、高い技術力、良い商品を持ちながらWebに関わる知識不足、情報発信力不足により、地方の衰退に飲み込まれつつあります。
そういった部分を補う為にWafuCreationでは、ホームページを中心とした集客を行いつつ、お客様への知識共有も含めてトータルサポート致します。
お客様と寄り添い共に成長できる関係を心がけています。",Wafu Creation ワフクリエイション,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/wafu-c,MEOハブ候補,https://wafu-c.com/works/
