address,business_description,company_name,decision,hub_evidence,maps_url,phone,reason,recurring_evidence,source_url,status,url
,"HP制作、SNS運用代行、動画制作、GoogleMapの対策など、一社で多くのWeb導線構築ができます。それでいて格安な料金設定も魅力。

「高すぎる日本のマーケティングを改革し、多くの素晴らしい企業の商品・サービスをより多くの消費者に届ける」という、ちょっと長めのミッションを掲げています。",株式会社Rizonia,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/rizonia,MEOハブ候補,https://pagy.jp/
,"ホームページメーカーどっとこむは、ナイトワーク専門のホームページサービスです。

ウェブサイト作成だけでなく、公開後の管理メンテナンスも代行させていただくサービスですので、ぜひ当サービスを貴店のウェブ担当者の代わりとしてご活用ください。

コンセプトは 高品質・高サービス・低コスト!!
同内容であれば国内トップクラスのコスパとサービスを自負しており、自信をもってお勧めさせていただいております！",株式会社トータルディアネット,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/t-dn,MEOハブ候補,http://www.hp-maker.com
,福岡県福岡市に本社を構え、東京にも事業所を持つWeb制作会社。食品、靴、雑貨など多彩なジャンルで制作実績を持つ。モール型EC、カラーミーショップなどのASPサービス、EC CUBEなどパッケージソフトの利用などの幅広い分野でECサイトを構築可能。,メディア総研株式会社,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/mda,MEOハブ候補,https://mda.ne.jp/
,"Guild CreateというWeb制作チームの代表をしている岡崎と申します。

私達は確かな実績を持ったフリーランスだけで構成されたWeb・動画制作チームです。
メンバーは元々自身のスキルを使って仕事を受注しているフリーランスのため、品質には自信があります。
下記に制作実績やデザインサンプルを掲載しております。
https://guild-create.com/works/

案件に応じて最適なメンバーでチームを組み制作に対応する為、それぞれの強みを活かした制作と素早い納品が可能です。

まずは無料でご要望をヒアリングさせていただき、最適な提案が出来ればと考えてります。",Guild Create,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/guild-create,MEOハブ候補,https://guild-create.com/works/
,,JICOO株式会社,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/jicoo,MEOハブ候補,https://jicoo.jp/
,ホームページ制作、システム開発、紙媒体のデザイン、写真撮影、動画制作と幅広く対応する制作会社。コンセプト作りからロゴ制作、ホームページ制作、各媒体の活用を行うことでブランディング構築の支援も提供する。,デザインスタジオ・トムズワン,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/toms1,MEOハブ候補,https://toms1.net/works/
,,株式会社ザ･ウェイ,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/the-way,MEOハブ候補,https://www.the-way.co.jp/
,,株式会社SESH,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/sesh,MEOハブ候補,https://sesh.co.jp/
,,クーバル株式会社,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/coobal,MEOハブ候補,https://www.coobal.co.jp/
,,キステム株式会社,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/kistem,MEOハブ候補,https://www.kistem.co.jp/
,,株式会社コンシーティア,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/konctia,MEOハブ候補,https://konctia.co.jp/
,欧州滞在40余年，独企業の日本語サポート20余年を経て，リタイア生活に入った後，仲間と事務所登録を行いました。独企業数社のシステムプログラミングおよび多言語システム部門で日本語翻訳及びチェックを担当しながら，同僚から徐々に学びました。傍ら，数は多くありませんが，在外公館や日系団体，日本食レストラン，（日本人顧客のための）独企業などのサイト制作に携わりました。若いバイタリティーはありませんが，低料金ながら，きれいで安定したサイトご希望の際に，声をかけていただけましたら幸いです。在独ですが，もちろん日本での日本語サイトも喜んでお受けします。,Japan Marketplace,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/japanese-restaurant,MEOハブ候補,https://www.jc-duesseldorf.de/index.php/jp/
,"お客様のご要望・課題感に合わせて、最適なプランをご提案いたします。
新規立ち上げや既存のWebサイトの改修など、ぜひご相談ください。",合同会社イホリシステム,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/ihori,MEOハブ候補,https://ihori.co.jp/
,"クオン株式会社は、東京に本社、大阪やベルリンに支局を構えるファンコミュニティクラウドを提供する会社。
コミュニティに貢献度の高いユーザー同士をマッチングさせる機能を有し、コミュニティを活性化させる独自アルゴリズムAIが強み。このアルゴリズムにより、コミュニティサイトを訪れるファンの声を取り入れてマーケティングにも応用可能。",クオン株式会社,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/q-o-n,MEOハブ候補,https://www.q-o-n.com/casestudy/
,EDSエンターテイメントは、島根県松江市にある中小企業専門のホームページ制作会社です。島根県の中小企業の成果（売上）に特化したホームページを制作します。,EDSエンターテインメント,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/kankyodigital-soljp,MEOハブ候補,https://kankyodigital-sol.jp/eds/works/
,東証一部上場のBPO企業。メニューの一つにWeb制作もあり。年間600社を超える豊富な実績を元に、企画・設計から制作まで一貫して行う。,トランスコスモス株式会社,keep,Web制作会社プロフィール,,,,,https://web-kanji.com/companies/trans-cosmos,MEOハブ候補,https://www.trans-cosmos.co.jp/customercase/
