address,business_description,company_name,decision,hub_evidence,maps_url,phone,reason,recurring_evidence,source_url,status,url
,"WEB制作～WEBマーケティング分野まで幅広く対応。
実績豊富なスタッフが在籍しており、複数のパートナー企業ともタッグを組んでスピーディーに対応いたします。",O-Live,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/la-olive,MEOハブ候補,https://la-olive.com/
,"DADAはこれまで、大規模システムからブランドサイト、WEBマガジン、個人商店まで、さまざまなWEBサイト制作に携わってきました。

創業28年、法人設立から20年。幅広い経験をベースに、ホームページ制作、中規模以上のWEBサイト構築〜運営・コンサルティングなど、お客様ごとのご要望に合わせた、さまざまなステップのお手伝いが可能です。

特にWordPressをベースとしたサイト構築〜サポートには重点をおいておりますので、ぜひお任せください。",DADA有限会社,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/dada,MEOハブ候補,https://dada.jp/
,"Webを中心に課題を解決するデザイン会社です。デザイン本来の意味である設計を大切にし、見た目だけでなく成果を重視しています。

Web業界で約20年。ディレクション/デザイン/フロントエンド開発を中心に、企画・マーケティング・ブランディングまで幅広く経験し、2023年に法人化。
ラグジュアリーブランド/コスメ/ブライダル/金融/エンタメなどの大規模案件から、地域の小規模事業者まで幅広く対応。妥協しない品質とスピーディな対応を評価いただいています。

●ポートフォリオについて
守秘案件が多いため常設していませんが、面談では匿名化した事例・プロセス・成果指標を、業種や課題に応じてご紹介いたします。",株式会社デラクト,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/delact,MEOハブ候補,https://delact.com/
,"神奈川県海老名市を拠点に展開する制作会社。
当社のクリエイティブは、「本質は何か?」というお客様の課題発掘から始まります。何故なら、意味のある、そして価値あるWeb制作・デザイン制作を作り上げる為には、お客様が抱える課題を発掘することが最重要と考えているから。
まず「お客様の解決すべき課題は何か＝本質」というところを共に考えご提案した上で、その確実な解決へ向け制作を進めていきます。",カズミア株式会社,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/kazmia,MEOハブ候補,https://www.kazmia.jp/cases/
,ブランディングに強みを持つ東京都港区のホームページ制作会社。通常の企業やサービスのブランディングに加え、採用ブランディングも手がける。ブランド戦略に合わせて、ロゴやパンブレットなどの紙媒体から映像まで幅広いクリエイティブに対応。,株式会社パラドックス,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/prdx,MEOハブ候補,https://www.prdx.co.jp/creative/
,東京都立川市に拠点を置き、不動産業界を中心に、製造業やサービス業、美容など様々な業界のホームページ制作実績がある。多くの講演・勉強会に講師として参加し、企業ブランディングや広告プロモーションに関するノウハウや最新の動向を提供。デザイン力の高さを活かしてチラシやパンフレットなどの紙媒体の制作も手掛けている。,株式会社カオルデザイン,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/kaorudesign,MEOハブ候補,https://www.kaorudesign.com/works/
,"グラフィック、WEB、映像だけではなく、イベント装飾ツールやノベルティグッズなど、ツールを問わずにプロジェクトのゴールに適したコミュニケーションプランの企画・制作をお手伝いすることができます。人員もプロジェクトにあわせて提携したプロフェッショナルな人材を適宜座組みするため、対応領域問わずに幅広く対応することが可能です。その汎用性と、スピードと質を両立した進行にご好評いただいています。
また、リモートツールを利用した全国対応の実績も多数ありますので、各支社からのご相談もお気軽にお声がけください。",株式会社SAVVY,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/savvy,MEOハブ候補,https://savvy.co.jp/works
,株式会社デパートは、東京青山のWebサイト制作会社です。Web制作を主軸に企画戦略からシステム開発・運用保守まで幅広くサービスを提供しています。企画戦略ではヒアリングやリサーチを重視し、デザイン業務においてはグラフィック開発からUXを重視したUI設計、インタラクションの実装まで、様々な面で「コミュニケーション」を生み出すことを得意としています。,株式会社デパート,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/depart-inc,MEOハブ候補,https://depart-inc.com/works/
,京都府京都市を拠点にブランディングやホームページ・印刷物などのデザインを行う制作会社。企画部分から対応することが可能な点が特徴。採用サイトのデザインに強みを持ち、丁寧なヒアリングをもとに制作。写真撮影やインタビューのほか、イラストやアニメーションを活用して効果的に構築。クライアントのブランディングや広報活動を総合的にサポートする。,株式会社フィールド,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/fieldcorp,MEOハブ候補,https://www.fieldcorp.jp/works/
,東京都港区に本社を構えるデジタルデザイン制作会社。ユーザーリサーチとUI/UXデザインに強みを持ち、Webサイト、Webサービス、アプリなど幅広くデジタル領域のデザインを手がける。代表的な制作事例は、NTTドコモ「ahamo」、ゆうちょ銀行「ゆうちょ通帳アプリ」、イオンカード「暮らしのマネーサイト」など。2020年度、2021年度のグッドデザイン賞を受賞。,株式会社フォーデジット,drop,Web制作会社プロフィール,,,existing_or_duplicate,,https://web-kanji.com/companies/4dd,MEOハブ候補,https://www.4digit.com/projects
