address,business_description,company_name,contact_url,decision,detail_url,hub_evidence,list_text,maps_url,phone,pool_source_file,reason,recurring_evidence,source_url,status,store_evidence,url
〒251-0035 神奈川県藤沢市片瀬海岸1-12-13,Unity用3DCGオブジェクト/Asset作成、Unityプログラム開発 パチンコ/パチスロ遊技機用3DCG画像開発 3Dプリンティング事業 3Dゲームアプリ開発 3D立体映像コンテンツ開発 3D医療コンテンツ制作 3D電子書籍コンテンツ事業 iPhoneアプリ開発 iPad/タブレット専用アプリ開発 Androidアプリ開発 GalaxyNote専用アプリ開発 スマートフォン販促支援 アプリ販促映像の企画・制作 電子書籍アプリ出版事業 電子書籍アプリ協会 人材開発/人材育成支援 エンジニア育成支援 「サーファー&エンジニア波乗り会」運営 シニア向けアプリ開発勉強会「シニアップSCHOOL」運営 Unity勉強会「Unity Cafe」運営 Fast Bridal事業 レストランウェディングビデオ撮影 Youtube公式コンテンツ配信事業 Ustream配信支援 神奈川県のおすすめ制作会社 藤沢市のホームページ制作会社 鶴見区のホームページ制作会社 新横浜のホームページ制作会社 関内・みなとみらいのホームページ制作会社 武蔵小杉のホームページ制作会社 神奈川県の制作会社一覧 横浜市 川崎市 相模原市 横須賀市 平塚市 鎌倉市 藤沢市 小田原市 茅ヶ崎市 逗子市 秦野市 厚木市 大和市 伊勢原市 海老名市 座間市 三浦郡 足柄下郡,3DCM株式会社,,keep,,販促,,,0466-90-3059,pilot_directory_audit_361_540.csv,,,https://yuryoweb.com/company_info/3dcm%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,レストラン / クリニック / 病院 / 歯科,https://3dcm.jp/
〒814-0002 福岡県福岡市早良区西新7丁目1-19-201号,セミナー・講演会などの撮影、ＤＶＤ・ビデオ制作およびそれに付帯関係する業務・ホームページ制作,A-zo株式会社,https://www.a-zo.tv/contact,,,集客 / 保守管理,,,092-516-6714,daily_directory_enriched.csv,,保守 / 管理,https://yuryoweb.com/company_info/a-zo%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,,https://www.a-zo.tv/
〒188-0011 東京都西東京市田無町5-3-4-401,,All Home Page株式会社,https://all-hp.com/contacts/,,,集客 / 広告運用 / ブランディング,,,042-427-5571,daily_directory_enriched.csv,,運用,https://yuryoweb.com/company_info/all-home-page%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,,https://all-hp.com/
〒102-0074 東京都千代田区九段南1-5-6 りそな九段ビル5F KSフロア,マーケティング＆営業コンサルティング CRM/MA/SFA 導入・活用支援 コンテンツ企画・制作 Web制作・関連アプリケーション開発,B2Bマーケティング株式会社,,keep,,集客 / コンサルティング,,,03-6380-8281,pilot_directory_audit_1_25.csv,,コンサルティング,https://yuryoweb.com/company_info/b2b%e3%83%9e%e3%83%bc%e3%82%b1%e3%83%86%e3%82%a3%e3%83%b3%e3%82%b0%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,,https://b2b-marketing.co.jp/
〒102-0074 東京都千代田区九段南一丁目5番6号 りそな九段ビル5F-KSフロア,メタバース制作／Webサイト制作／LP制作／コーポレート・採用サイト／ECサイト・多店舗管理／予約・会員管理システム開発／動画制作／スマホアプリ開発／業務効率化・DX支援 主要取引先 テレビ通販企業／美容室グループ／医療エステ／健康食品メーカー 他,BLUE ROCK GEAR合同会社,,keep,,広告 / 運用 / 管理 / ホームページ制作 / WEB制作 / Web制作,,,,weblinks_1_250.csv,,,https://www.weblinks.jp/hpvendor/1785320107-741586,MEOハブ候補,,https://bluerock-g.co.jp/
〒001-0018 北海道札幌市北区北18条西3丁目1-12 18条タ-ミナルビル404,WEBサイト制作・WEBマーケティング事業,Bakutoba lab株式会社,http://bakutoba-lab.com/?page_id=75,,,Webマーケティング / webマーケティング / 集客 / コンサルティング / ブランディング,,,011-746-4446,daily_directory_enriched.csv,,コンサルティング,https://yuryoweb.com/company_info/bakutoba-lab%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,,http://bakutoba-lab.com/
〒810-0042 福岡県福岡市中央区赤坂1丁目10-9ロクバイビル8F,WEBシステム開発 ホームページ制作 ハードウェア 福岡県のおすすめ制作会社 福岡市のホームページ制作会社 直方市のホームページ制作会社 小郡市のホームページ制作会社 大牟田市のホームページ制作会社 宗像市のホームページ制作会社 福岡県の制作会社一覧 北九州市 福岡市 大牟田市 久留米市 直方市 飯塚市 田川市 八女市 筑後市 行橋市 中間市 筑紫野市 春日市 大野城市 宗像市 太宰府市 福津市 うきは市 嘉麻市 朝倉市 糸島市 那珂川市 糟屋郡 遠賀郡 鞍手郡 嘉穂郡 朝倉郡 京都郡,C-limber株式会社,,,,MEO / 集客 / コンサルティング / ブランディング,,,092-791-3437,directory_851_950.csv,,管理 / コンサルティング,https://yuryoweb.com/company_info/c-limber%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,飲食店 / レストラン / 美容室 / サロン / クリニック / 病院 / 歯科,https://c-limber.co.jp/
〒150-0013 東京都渋谷区恵比寿４－３－１,ECコンサルティング SEO対策 Web広告運用 東京都のおすすめ制作会社 渋谷区のホームページ制作会社 東京都のホームページ制作会社 港区のホームページ制作会社 新宿区のホームページ制作会社 豊島区のホームページ制作会社 東京都の制作会社一覧 千代田区 中央区 港区 新宿区 文京区 台東区 墨田区 江東区 品川区 目黒区 大田区 世田谷区 渋谷区 中野区 杉並区 豊島区 北区 荒川区 板橋区 練馬区 足立区 葛飾区 江戸川区 八王子市 立川市 武蔵野市 三鷹市 青梅市 府中市 昭島市 調布市 町田市 小金井市 小平市 日野市 東村山市 国分寺市 国立市 福生市 狛江市 東久留米市 多摩市 稲城市 羽村市 あきる野市 西東京市 西多摩郡,ECコンサルティング株式会社,,,,Webマーケティング / webマーケティング / 集客 / 広告運用 / SNS運用 / コンサルティング / ブランディング,,,03-3473-3456,daily_directory_enriched.csv,,運用 / コンサルティング,https://yuryoweb.com/company_info/ec%e3%82%b3%e3%83%b3%e3%82%b5%e3%83%ab%e3%83%86%e3%82%a3%e3%83%b3%e3%82%b0%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,,https://xn--ec-lg4a3bnm3j5mmce.com/
〒310-0841 茨城県水戸市酒門町5123 1F,・ホームページ制作（企画、デザイン、コーディング等） ・VR・ARを用いたビジネスの提案 ・インターネットシステム、モバイルアプリケーションの企画および開発 ・動画撮影・映像の企画・撮影・編集 ・デジタルコンテンツの制作 ・パンフレットやポスターなどの印刷物の企画、制作 ・翻訳および外国語のホームページなどの制作 ・WEBを利用したプロモーションの企画、立案、コンサルタント 茨城県のおすすめ制作会社 水戸市のホームページ制作会社 潮来市のホームページ制作会社 つくばみらい市のホームページ制作会社 かすみがうら市のホームページ制作会社 ひたちなか市のホームページ制作会社 茨城県の制作会社一覧 水戸市 日立市 土浦市 古河市 石岡市 結城市 龍ケ崎市 下妻市 常総市 常陸太田市 北茨城市 笠間市 取手市 牛久市 つくば市 ひたちなか市 鹿嶋市 潮来市 守谷市 筑西市 かすみがうら市 神栖市 行方市 つくばみらい市 那珂郡 久慈郡 稲敷郡 猿島郡 境町,EWORKS株式会社,https://eworks-group.co.jp/contact/,,,ブランディング,,,029-350-1473,daily_directory_enriched.csv,,,https://yuryoweb.com/company_info/eworks%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,,https://eworks-group.co.jp/
〒921-8043 石川県金沢市西泉1-66-1 スプリングポイントビル3F,・WEBサイト作成・デザイン業務 ・グルメサイト「食べログ」「ヒトサラ」「Retty」などの広告サービスのご案内・営業業務 ・飲食店様に大手グルメサイトを活用した集客の提案 ・テレアポスタッフが獲得した訪問アポイント先への訪問活動 ・お客様へのフォロー 石川県のおすすめ制作会社 金沢市のホームページ制作会社 能美市のホームページ制作会社 石川県のホームページ制作会社 七尾市のホームページ制作会社 小松市のホームページ制作会社 石川県の制作会社一覧 金沢市 七尾市 小松市 輪島市 加賀市 白山市 能美市 野々市市 河北郡,Favo.com株式会社,https://favogroup.jp/inquiry/,,,Webマーケティング / webマーケティング / 集客 / コンサルティング / ブランディング,,,076-255-7818,daily_directory_enriched.csv,,サポート / コンサルティング,https://yuryoweb.com/company_info/favo-com%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be/,MEOハブ候補,,https://favogroup.jp/
